AST Analysis Report for prettier
Generated on: 2025-07-14T02:07:53.444Z
Repository: sample-repos/prettier
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/prettier

📁 Found 5046 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 5046
   Successfully parsed: 5045
   Failed to parse: 1
   Total file size: 3.0 MB

🌳 NODE STATISTICS:
   Total nodes: 297,480
   Average nodes per file: 59
   Average file size: 632.0 B

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                          5045 files (100.0%) -         5,045 total ( 1.70%)
   Identifier                       3513 files ( 69.6%) -       103,850 total (34.91%)
   Literal                          2960 files ( 58.7%) -        29,562 total ( 9.94%)
   ExpressionStatement              2564 files ( 50.8%) -         9,225 total ( 3.10%)
   CallExpression                   2469 files ( 48.9%) -        17,086 total ( 5.74%)
   ArrayExpression                  1850 files ( 36.7%) -         5,345 total ( 1.80%)
   MetaProperty                     1348 files ( 26.7%) -         1,676 total ( 0.56%)
   ClassExpression                    41 files (  0.8%) -            92 total ( 0.03%)
   TSModuleDeclaration                40 files (  0.8%) -           126 total ( 0.04%)
   TSAsExpression                     40 files (  0.8%) -           127 total ( 0.04%)
   TSModuleBlock                      39 files (  0.8%) -           125 total ( 0.04%)
   TSParenthesizedType                37 files (  0.7%) -           302 total ( 0.10%)
   TSEmptyBodyFunctionExpression      37 files (  0.7%) -           136 total ( 0.05%)
   TSTupleType                        36 files (  0.7%) -            91 total ( 0.03%)
   PrivateIdentifier                  31 files (  0.6%) -           166 total ( 0.06%)
   TSIntersectionType                 29 files (  0.6%) -           178 total ( 0.06%)
   WhileStatement                     29 files (  0.6%) -            52 total ( 0.02%)
   YieldExpression                    28 files (  0.6%) -            77 total ( 0.03%)
   SequenceExpression                 27 files (  0.5%) -            48 total ( 0.02%)
   TSTypeOperator                     26 files (  0.5%) -            67 total ( 0.02%)
   TSMethodSignature                  26 files (  0.5%) -            64 total ( 0.02%)
   Hashbang                           26 files (  0.5%) -            26 total ( 0.01%)
   JSXElement                         26 files (  0.5%) -           289 total ( 0.10%)
   JSXOpeningElement                  26 files (  0.5%) -           289 total ( 0.10%)
   JSXIdentifier                      26 files (  0.5%) -           851 total ( 0.29%)
   TSDeclareFunction                  25 files (  0.5%) -           104 total ( 0.03%)
   ImportAttribute                    24 files (  0.5%) -            52 total ( 0.02%)
   TSParameterProperty                24 files (  0.5%) -            60 total ( 0.02%)
   TSTypeQuery                        23 files (  0.5%) -            76 total ( 0.03%)
   TSUnknownKeyword                   22 files (  0.4%) -            56 total ( 0.02%)
   Super                              22 files (  0.4%) -            37 total ( 0.01%)
   TSAbstractMethodDefinition         22 files (  0.4%) -            60 total ( 0.02%)
   ForInStatement                     20 files (  0.4%) -            64 total ( 0.02%)
   JSXText                            19 files (  0.4%) -           423 total ( 0.14%)
   JSXExpressionContainer             19 files (  0.4%) -           304 total ( 0.10%)
   TSIndexedAccessType                18 files (  0.4%) -            65 total ( 0.02%)
   TSMappedType                       18 files (  0.4%) -            76 total ( 0.03%)
   JSXAttribute                       18 files (  0.4%) -           347 total ( 0.12%)
   JSXClosingElement                  18 files (  0.4%) -           212 total ( 0.07%)
   TSConditionalType                  17 files (  0.3%) -           118 total ( 0.04%)
   TSTypeAssertion                    17 files (  0.3%) -            83 total ( 0.03%)
   TSSatisfiesExpression              17 files (  0.3%) -            93 total ( 0.03%)
   TSNonNullExpression                17 files (  0.3%) -           285 total ( 0.10%)
   TSNeverKeyword                     16 files (  0.3%) -            62 total ( 0.02%)
   TSUndefinedKeyword                 16 files (  0.3%) -           121 total ( 0.04%)
   AccessorProperty                   16 files (  0.3%) -            32 total ( 0.01%)
   TSInterfaceHeritage                14 files (  0.3%) -            81 total ( 0.03%)
   TSIndexSignature                   14 files (  0.3%) -            28 total ( 0.01%)
   TSConstructorType                  14 files (  0.3%) -            21 total ( 0.01%)
   TSCallSignatureDeclaration         13 files (  0.3%) -            60 total ( 0.02%)
   TSConstructSignatureDeclaration     12 files (  0.2%) -            53 total ( 0.02%)
   TSClassImplements                  12 files (  0.2%) -           105 total ( 0.04%)
   TSNullKeyword                      11 files (  0.2%) -            44 total ( 0.01%)
   TSEnumDeclaration                  11 files (  0.2%) -            17 total ( 0.01%)
   TSEnumBody                         11 files (  0.2%) -            17 total ( 0.01%)
   LabeledStatement                   10 files (  0.2%) -            21 total ( 0.01%)
   TSInferType                         9 files (  0.2%) -            45 total ( 0.02%)
   DoWhileStatement                    9 files (  0.2%) -            17 total ( 0.01%)
   TSImportEqualsDeclaration           9 files (  0.2%) -            30 total ( 0.01%)
   TSObjectKeyword                     8 files (  0.2%) -            20 total ( 0.01%)
   TSRestType                          7 files (  0.1%) -            13 total ( 0.00%)
   TSThisType                          7 files (  0.1%) -             9 total ( 0.00%)
   TSEnumMember                        7 files (  0.1%) -            28 total ( 0.01%)
   TSAbstractPropertyDefinition        7 files (  0.1%) -            17 total ( 0.01%)
   TSImportType                        7 files (  0.1%) -            36 total ( 0.01%)
   TSSymbolKeyword                     6 files (  0.1%) -            11 total ( 0.00%)
   JSXSpreadAttribute                  6 files (  0.1%) -            15 total ( 0.01%)
   StaticBlock                         6 files (  0.1%) -            12 total ( 0.00%)
   TSTypePredicate                     6 files (  0.1%) -            25 total ( 0.01%)
   JSXFragment                         4 files (  0.1%) -             5 total ( 0.00%)
   JSXOpeningFragment                  4 files (  0.1%) -             5 total ( 0.00%)
   JSXClosingFragment                  4 files (  0.1%) -             5 total ( 0.00%)
   TSExternalModuleReference           4 files (  0.1%) -             9 total ( 0.00%)
   TSAbstractAccessorProperty          3 files (  0.1%) -             5 total ( 0.00%)
   TSTemplateLiteralType               3 files (  0.1%) -             8 total ( 0.00%)
   TSInstantiationExpression           3 files (  0.1%) -            17 total ( 0.01%)
   WithStatement                       3 files (  0.1%) -             4 total ( 0.00%)
   TSOptionalType                      2 files (  0.0%) -             3 total ( 0.00%)
   TSExportAssignment                  2 files (  0.0%) -             2 total ( 0.00%)
   TSBigIntKeyword                     2 files (  0.0%) -             2 total ( 0.00%)
   TSNamedTupleMember                  1 files (  0.0%) -            12 total ( 0.00%)
   JSXEmptyExpression                  1 files (  0.0%) -             1 total ( 0.00%)
   JSXMemberExpression                 1 files (  0.0%) -             3 total ( 0.00%)
   TSIntrinsicKeyword                  1 files (  0.0%) -             1 total ( 0.00%)
   TSNamespaceExportDeclaration        1 files (  0.0%) -             1 total ( 0.00%)

📝 ALL NODE TYPES (BY TOTAL COUNT):
   Identifier                           103,850 (34.91%) in   3513 files ( 69.6%)
   Literal                               29,562 ( 9.94%) in   2960 files ( 58.7%)
   MemberExpression                      19,836 ( 6.67%) in   1178 files ( 23.3%)
   CallExpression                        17,086 ( 5.74%) in   2469 files ( 48.9%)
   Property                               9,511 ( 3.20%) in   1138 files ( 22.6%)
   ExpressionStatement                    9,225 ( 3.10%) in   2564 files ( 50.8%)
   BlockStatement                         7,463 ( 2.51%) in   1078 files ( 21.4%)
   VariableDeclarator                     6,303 ( 2.12%) in   1145 files ( 22.7%)
   VariableDeclaration                    6,273 ( 2.11%) in   1145 files ( 22.7%)
   BinaryExpression                       5,468 ( 1.84%) in    535 files ( 10.6%)
   ArrayExpression                        5,345 ( 1.80%) in   1850 files ( 36.7%)
   Program                                5,045 ( 1.70%) in   5045 files (100.0%)
   ObjectExpression                       4,115 ( 1.38%) in   1082 files ( 21.4%)
   LogicalExpression                      3,822 ( 1.28%) in    356 files (  7.1%)
   ReturnStatement                        3,635 ( 1.22%) in    586 files ( 11.6%)
   Unknown                                3,024 ( 1.02%) in    405 files (  8.0%)
   ArrowFunctionExpression                2,990 ( 1.01%) in    632 files ( 12.5%)
   TSTypeAnnotation                       2,847 ( 0.96%) in    325 files (  6.4%)
   TSTypeReference                        2,805 ( 0.94%) in    262 files (  5.2%)
   ParenthesizedExpression                2,722 ( 0.92%) in    471 files (  9.3%)
   IfStatement                            2,639 ( 0.89%) in    368 files (  7.3%)
   TemplateElement                        2,356 ( 0.79%) in    324 files (  6.4%)
   AssignmentExpression                   1,984 ( 0.67%) in    548 files ( 10.9%)
   ImportSpecifier                        1,893 ( 0.64%) in    335 files (  6.6%)
   FunctionDeclaration                    1,793 ( 0.60%) in    604 files ( 12.0%)
   ImportDeclaration                      1,759 ( 0.59%) in    533 files ( 10.6%)
   UnaryExpression                        1,754 ( 0.59%) in    324 files (  6.4%)
   MetaProperty                           1,676 ( 0.56%) in   1348 files ( 26.7%)
   ConditionalExpression                  1,274 ( 0.43%) in    282 files (  5.6%)
   SwitchCase                             1,229 ( 0.41%) in     68 files (  1.3%)
