AST Analysis Report for babel
Generated on: 2025-07-14T01:56:13.511Z
Repository: sample-repos/babel
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/babel

📁 Found 1424 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1424
   Successfully parsed: 1424
   Failed to parse: 0
   Total file size: 5.7 MB

🌳 NODE STATISTICS:
   Total nodes: 772,687
   Average nodes per file: 543
   Average file size: 4.1 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                        1424 files (100.0%) -    1,424 total (0.18%)
   ClassDeclaration                 57 files (  4.0%) -       91 total (0.01%)
   TaggedTemplateExpression         56 files (  3.9%) -      182 total (0.02%)
   TSTypePredicate                  54 files (  3.8%) -    1,312 total (0.17%)
   TSObjectKeyword                  54 files (  3.8%) -      709 total (0.09%)
   RestElement                      49 files (  3.4%) -      105 total (0.01%)
   PropertyDefinition               48 files (  3.4%) -      370 total (0.05%)
   AwaitExpression                  46 files (  3.2%) -      324 total (0.04%)
   YieldExpression                  41 files (  2.9%) -      527 total (0.07%)
   TSIndexSignature                 39 files (  2.7%) -       59 total (0.01%)
   TSDeclareFunction                33 files (  2.3%) -       77 total (0.01%)
   ForInStatement                   31 files (  2.2%) -       53 total (0.01%)
   DoWhileStatement                 26 files (  1.8%) -       59 total (0.01%)
   ImportAttribute                  24 files (  1.7%) -       30 total (0.00%)
   TSEnumDeclaration                23 files (  1.6%) -       30 total (0.00%)
   TSEnumBody                       23 files (  1.6%) -       30 total (0.00%)
   TSEnumMember                     23 files (  1.6%) -      167 total (0.02%)
   TSMethodSignature                21 files (  1.5%) -      684 total (0.09%)
   TSInterfaceHeritage              20 files (  1.4%) -      535 total (0.07%)
   TSNeverKeyword                   18 files (  1.3%) -       28 total (0.00%)
   Super                            17 files (  1.2%) -      253 total (0.03%)
   TSConditionalType                17 files (  1.2%) -       43 total (0.01%)
   TSCallSignatureDeclaration       14 files (  1.0%) -       62 total (0.01%)
   TSNonNullExpression              13 files (  0.9%) -       56 total (0.01%)
   ClassExpression                  12 files (  0.8%) -       16 total (0.00%)
   TSImportType                     12 files (  0.8%) -       16 total (0.00%)
   TSConstructorType                12 files (  0.8%) -       16 total (0.00%)
   TSMappedType                     12 files (  0.8%) -       13 total (0.00%)
   TSSatisfiesExpression            11 files (  0.8%) -       11 total (0.00%)
   TSSymbolKeyword                  11 files (  0.8%) -       21 total (0.00%)
   ImportExpression                 10 files (  0.7%) -       16 total (0.00%)
   TSClassImplements                10 files (  0.7%) -       11 total (0.00%)
   TSEmptyBodyFunctionExpression    10 files (  0.7%) -       43 total (0.01%)
   Hashbang                          9 files (  0.6%) -        9 total (0.00%)
   TSNamedTupleMember                9 files (  0.6%) -       28 total (0.00%)
   TSRestType                        9 files (  0.6%) -       11 total (0.00%)
   LabeledStatement                  8 files (  0.6%) -       18 total (0.00%)
   ExportAllDeclaration              8 files (  0.6%) -       32 total (0.00%)
   TSBigIntKeyword                   8 files (  0.6%) -        9 total (0.00%)
   TSModuleDeclaration               7 files (  0.5%) -       41 total (0.01%)
   TSModuleBlock                     7 files (  0.5%) -       41 total (0.01%)
   TSInferType                       7 files (  0.5%) -       15 total (0.00%)
   TSTemplateLiteralType             5 files (  0.4%) -        8 total (0.00%)
   TSThisType                        5 files (  0.4%) -      631 total (0.08%)
   EmptyStatement                    4 files (  0.3%) -        4 total (0.00%)
   TSOptionalType                    4 files (  0.3%) -        6 total (0.00%)
   TSExportAssignment                3 files (  0.2%) -       35 total (0.00%)
   TSAbstractMethodDefinition        3 files (  0.2%) -       16 total (0.00%)
   PrivateIdentifier                 2 files (  0.1%) -      156 total (0.02%)
   Decorator                         2 files (  0.1%) -       18 total (0.00%)
   AccessorProperty                  2 files (  0.1%) -       16 total (0.00%)
   TSConstructSignatureDeclaration    1 files (  0.1%) -        1 total (0.00%)

📝 ALL NODE TYPES (BY TOTAL COUNT):
   Identifier                      285,167 (36.91%) in 1404 files (98.6%)
   MemberExpression                 61,884 (8.01%) in 1134 files (79.6%)
   Literal                          56,270 (7.28%) in 1295 files (90.9%)
   CallExpression                   48,607 (6.29%) in 1181 files (82.9%)
   TSTypeReference                  27,385 (3.54%) in 494 files (34.7%)
   ExpressionStatement              23,559 (3.05%) in 1144 files (80.3%)
   Property                         21,965 (2.84%) in 699 files (49.1%)
   BlockStatement                   21,697 (2.81%) in 1052 files (73.9%)
   TSTypeAnnotation                 19,956 (2.58%) in 538 files (37.8%)
   VariableDeclarator               15,559 (2.01%) in 862 files (60.5%)
   VariableDeclaration              13,104 (1.70%) in 862 files (60.5%)
   BinaryExpression                 10,453 (1.35%) in 713 files (50.1%)
   IfStatement                       9,785 (1.27%) in 673 files (47.3%)
   ThisExpression                    9,447 (1.22%) in 178 files (12.5%)
   ReturnStatement                   8,728 (1.13%) in 848 files (59.6%)
   TSQualifiedName                   8,474 (1.10%) in 274 files (19.2%)
   ObjectExpression                  8,160 (1.06%) in 701 files (49.2%)
   AssignmentExpression              7,757 (1.00%) in 653 files (45.9%)
   LogicalExpression                 6,597 (0.85%) in 577 files (40.5%)
   UnaryExpression                   5,889 (0.76%) in 622 files (43.7%)
   ArrayExpression                   5,671 (0.73%) in 519 files (36.4%)
   Unknown                           5,590 (0.72%) in 410 files (28.8%)
   TSTypeParameterInstantiation      4,910 (0.64%) in 323 files (22.7%)
   TemplateElement                   4,698 (0.61%) in 364 files (25.6%)
   ArrowFunctionExpression           4,621 (0.60%) in 542 files (38.1%)
   FunctionExpression                4,513 (0.58%) in 479 files (33.6%)
   TSPropertySignature               4,147 (0.54%) in 220 files (15.4%)
   TSUnionType                       3,960 (0.51%) in 308 files (21.6%)
   FunctionDeclaration               3,757 (0.49%) in 783 files (55.0%)
   ImportDeclaration                 3,462 (0.45%) in 1015 files (71.3%)
   ExportNamedDeclaration            3,187 (0.41%) in 435 files (30.5%)
   ImportSpecifier                   2,965 (0.38%) in 643 files (45.2%)
   ParenthesizedExpression           2,859 (0.37%) in 415 files (29.1%)
   TemplateLiteral                   2,691 (0.35%) in 361 files (25.4%)
   TSNullKeyword                     2,242 (0.29%) in 141 files (9.9%)
   ConditionalExpression             2,159 (0.28%) in 386 files (27.1%)
   TSLiteralType                     1,992 (0.26%) in 189 files (13.3%)
   SwitchCase                        1,823 (0.24%) in 65 files (4.6%)
   NewExpression                     1,816 (0.24%) in 506 files (35.5%)
   TSStringKeyword                   1,772 (0.23%) in 292 files (20.5%)
   ImportDefaultSpecifier            1,637 (0.21%) in 698 files (49.0%)
   ObjectPattern                     1,590 (0.21%) in 339 files (23.8%)
   TSBooleanKeyword                  1,573 (0.20%) in 225 files (15.8%)
   Program                           1,424 (0.18%) in 1424 files (100.0%)
   TSTypePredicate                   1,312 (0.17%) in 54 files (3.8%)
   MethodDefinition                  1,276 (0.17%) in 66 files (4.6%)
   ThrowStatement                    1,127 (0.15%) in 303 files (21.3%)
   TSAsExpression                    1,084 (0.14%) in 229 files (16.1%)
   SequenceExpression                1,063 (0.14%) in 82 files (5.8%)
   TSUndefinedKeyword                1,051 (0.14%) in 115 files (8.1%)
   ExportSpecifier                     901 (0.12%) in 200 files (14.0%)
   TSArrayType                         774 (0.10%) in 205 files (14.4%)
   TSObjectKeyword                     709 (0.09%) in 54 files (3.8%)
   TSMethodSignature                   684 (0.09%) in 21 files (1.5%)
   TSAnyKeyword                        644 (0.08%) in 183 files (12.9%)
   TSInterfaceDeclaration              632 (0.08%) in 93 files (6.5%)
   TSInterfaceBody                     632 (0.08%) in 93 files (6.5%)
   TSThisType                          631 (0.08%) in 5 files (0.4%)
   SpreadElement                       626 (0.08%) in 175 files (12.3%)
   ForOfStatement                      619 (0.08%) in 223 files (15.7%)
   UpdateExpression                    588 (0.08%) in 181 files (12.7%)
   AssignmentPattern                   573 (0.07%) in 135 files (9.5%)
   TSTypeLiteral                       569 (0.07%) in 200 files (14.0%)
   TSNumberKeyword                     555 (0.07%) in 126 files (8.8%)
   TSTypeAliasDeclaration              544 (0.07%) in 169 files (11.9%)
   TSInterfaceHeritage                 535 (0.07%) in 20 files (1.4%)
   YieldExpression                     527 (0.07%) in 41 files (2.9%)
   ExportDefaultDeclaration            496 (0.06%) in 477 files (33.5%)
   TSTypeParameter                     488 (0.06%) in 156 files (11.0%)
   TSVoidKeyword                       469 (0.06%) in 111 files (7.8%)
   BreakStatement                      466 (0.06%) in 90 files (6.3%)
   ForStatement                        422 (0.05%) in 161 files (11.3%)
   TryStatement                        414 (0.05%) in 123 files (8.6%)
   TSIndexedAccessType                 381 (0.05%) in 107 files (7.5%)
   TSTypeParameterDeclaration          378 (0.05%) in 156 files (11.0%)
   PropertyDefinition                  370 (0.05%) in 48 files (3.4%)
   ChainExpression                     360 (0.05%) in 126 files (8.8%)
   TSFunctionType                      330 (0.04%) in 116 files (8.1%)
   CatchClause                         326 (0.04%) in 102 files (7.2%)
   AwaitExpression                     324 (0.04%) in 46 files (3.2%)
   ImportNamespaceSpecifier            306 (0.04%) in 246 files (17.3%)
   Super                               253 (0.03%) in 17 files (1.2%)
   MetaProperty                        252 (0.03%) in 220 files (15.4%)
   TSUnknownKeyword                    238 (0.03%) in 96 files (6.7%)
   ContinueStatement                   237 (0.03%) in 98 files (6.9%)
   TSTypeQuery                         224 (0.03%) in 92 files (6.5%)
   ArrayPattern                        194 (0.03%) in 81 files (5.7%)
   SwitchStatement                     188 (0.02%) in 65 files (4.6%)
   TaggedTemplateExpression            182 (0.02%) in 56 files (3.9%)
   TSEnumMember                        167 (0.02%) in 23 files (1.6%)
   PrivateIdentifier                   156 (0.02%) in 2 files (0.1%)
   TSIntersectionType                  152 (0.02%) in 71 files (5.0%)
   WhileStatement                      128 (0.02%) in 58 files (4.1%)
   TSTupleType                         121 (0.02%) in 60 files (4.2%)
   ClassBody                           107 (0.01%) in 66 files (4.6%)
   RestElement                         105 (0.01%) in 49 files (3.4%)
   TSParenthesizedType                 104 (0.01%) in 59 files (4.1%)
   TSTypeOperator                      102 (0.01%) in 65 files (4.6%)
   ClassDeclaration                     91 (0.01%) in 57 files (4.0%)
   TSDeclareFunction                    77 (0.01%) in 33 files (2.3%)
   TSCallSignatureDeclaration           62 (0.01%) in 14 files (1.0%)
   DoWhileStatement                     59 (0.01%) in 26 files (1.8%)
   TSIndexSignature                     59 (0.01%) in 39 files (2.7%)
   TSNonNullExpression                  56 (0.01%) in 13 files (0.9%)
   ForInStatement                       53 (0.01%) in 31 files (2.2%)
   TSConditionalType                    43 (0.01%) in 17 files (1.2%)
   TSEmptyBodyFunctionExpression        43 (0.01%) in 10 files (0.7%)
   TSModuleDeclaration                  41 (0.01%) in 7 files (0.5%)
   TSModuleBlock                        41 (0.01%) in 7 files (0.5%)
   TSExportAssignment                   35 (0.00%) in 3 files (0.2%)
   ExportAllDeclaration                 32 (0.00%) in 8 files (0.6%)
   ImportAttribute                      30 (0.00%) in 24 files (1.7%)
   TSEnumDeclaration                    30 (0.00%) in 23 files (1.6%)
   TSEnumBody                           30 (0.00%) in 23 files (1.6%)
   TSNamedTupleMember                   28 (0.00%) in 9 files (0.6%)
   TSNeverKeyword                       28 (0.00%) in 18 files (1.3%)
   TSSymbolKeyword                      21 (0.00%) in 11 files (0.8%)
   LabeledStatement                     18 (0.00%) in 8 files (0.6%)
   Decorator                            18 (0.00%) in 2 files (0.1%)
   ClassExpression                      16 (0.00%) in 12 files (0.8%)
   ImportExpression                     16 (0.00%) in 10 files (0.7%)
   TSImportType                         16 (0.00%) in 12 files (0.8%)
   TSConstructorType                    16 (0.00%) in 12 files (0.8%)
   AccessorProperty                     16 (0.00%) in 2 files (0.1%)
   TSAbstractMethodDefinition           16 (0.00%) in 3 files (0.2%)
   TSInferType                          15 (0.00%) in 7 files (0.5%)
   TSMappedType                         13 (0.00%) in 12 files (0.8%)
   TSClassImplements                    11 (0.00%) in 10 files (0.7%)
   TSRestType                           11 (0.00%) in 9 files (0.6%)
   TSSatisfiesExpression                11 (0.00%) in 11 files (0.8%)
   Hashbang                              9 (0.00%) in 9 files (0.6%)
   TSBigIntKeyword                       9 (0.00%) in 8 files (0.6%)
   TSTemplateLiteralType                 8 (0.00%) in 5 files (0.4%)
   TSOptionalType                        6 (0.00%) in 4 files (0.3%)
   EmptyStatement                        4 (0.00%) in 4 files (0.3%)
   TSConstructSignatureDeclaration        1 (0.00%) in 1 files (0.1%)

📁 FILE EXAMPLES BY NODE TYPE:

   Identifier:
     📄 Files WITH Identifier (showing 10):
       • yarn.config.cjs
       • jest.config.js
       • eslint.config.mjs
       • babel.config.js
       • babel-worker.cjs
       • Makefile.source.mjs
       • Makefile.mjs
       • Gulpfile.mjs
       • scripts/set-module-type.js
       • scripts/rollup-plugin-standalone-internals.js
     📄 Files WITHOUT Identifier (showing 10):
       • benchmark/babel-helper-validator-identifier/identifier.bench.mjs
       • test/runtime-integration/src/main-esm.mjs
       • scripts/parser-tests/typescript/error-codes.js
       • packages/babel-helper-transform-fixture-test-runner/src/babel-helpers-in-memory.js
       • packages/babel-cli/bin/babel-external-helpers.mjs
       • packages/babel-plugin-transform-regenerator/test/regenerator-fixtures/non-native.js
       • packages/babel-generator/src/generators/index.ts
       • packages/babel-parser/test/expressions/is-expression-babel-parser/fail/two-identifiers/input.js
       • packages/babel-parser/test/expressions/is-expression-babel-parser/fail/trailing-dangle-right-bracket/input.js
       • packages/babel-parser/test/expressions/is-expression-babel-parser/fail/leading-dangle-right-bracket/input.js

   MemberExpression:
     📄 Files WITH MemberExpression (showing 10):
       • yarn.config.cjs
       • jest.config.js
       • eslint.config.mjs
       • babel.config.js
       • babel-worker.cjs
       • Makefile.source.mjs
       • Makefile.mjs
       • Gulpfile.mjs
       • scripts/set-module-type.js
       • scripts/rollup-plugin-standalone-internals.js
     📄 Files WITHOUT MemberExpression (showing 10):
       • scripts/postinstall.js
       • lib/third-party-libs.d.ts
       • lib/regexpu-core.d.ts
       • lib/libdom-minimal.d.ts
       • lib/kexec.d.ts
       • lib/globals.d.ts
       • lib/babel-plugin-dynamic-import-node.d.ts
       • lib/archived-libs.d.ts
       • test/esm/index.js
       • scripts/repo-utils/babel.js

   Literal:
     📄 Files WITH Literal (showing 10):
       • yarn.config.cjs
       • jest.config.js
       • eslint.config.mjs
       • babel.config.js
       • babel-worker.cjs
       • Makefile.source.mjs
       • Makefile.mjs
       • Gulpfile.mjs
       • scripts/set-module-type.js
       • scripts/rollup-plugin-standalone-internals.js
     📄 Files WITHOUT Literal (showing 10):
       • lib/libdom-minimal.d.ts
       • lib/globals.d.ts
       • packages/babel-standalone/src/plugin-utils-shim.ts
       • packages/babel-standalone/src/make-noop-plugin.ts
       • packages/babel-standalone/src/babel-package-shim.ts
       • packages/babel-helper-transform-fixture-test-runner/src/babel-helpers-in-memory.js
       • packages/babel-runtime-corejs3/helpers/esm/temporalUndefined.js
       • packages/babel-runtime-corejs3/helpers/esm/skipFirstGeneratorNext.js
       • packages/babel-runtime-corejs3/helpers/esm/identity.js
       • packages/babel-runtime-corejs3/helpers/esm/classApplyDescriptorGet.js

   CallExpression:
     📄 Files WITH CallExpression (showing 10):
       • yarn.config.cjs
       • jest.config.js
       • eslint.config.mjs
       • babel.config.js
       • babel-worker.cjs
       • Makefile.source.mjs
       • Makefile.mjs
       • Gulpfile.mjs
       • scripts/set-module-type.js
       • scripts/rollup-plugin-standalone-internals.js
     📄 Files WITHOUT CallExpression (showing 10):
       • lib/third-party-libs.d.ts
       • lib/regexpu-core.d.ts
       • lib/libdom-minimal.d.ts
       • lib/kexec.d.ts
       • lib/globals.d.ts
       • lib/babel-plugin-dynamic-import-node.d.ts
       • lib/archived-libs.d.ts
       • scripts/repo-utils/babel.js
       • scripts/babel-plugin-bit-decorator/types.d.ts
       • benchmark/babel-helper-validator-identifier/identifier.bench.mjs

   TSTypeReference:
     📄 Files WITH TSTypeReference (showing 10):
       • lib/third-party-libs.d.ts
       • lib/regexpu-core.d.ts
       • lib/babel-plugin-dynamic-import-node.d.ts
       • lib/archived-libs.d.ts
       • scripts/babel-plugin-bit-decorator/types.d.ts
       • codemods/babel-plugin-codemod-optional-catch-binding/src/index.ts
       • codemods/babel-plugin-codemod-object-assign-to-object-spread/src/index.ts
       • packages/babel-standalone/src/transformScriptTags.ts
       • packages/babel-standalone/src/index.ts
       • packages/babel-template/src/string.ts
     📄 Files WITHOUT TSTypeReference (showing 10):
       • yarn.config.cjs
       • jest.config.js
       • eslint.config.mjs
       • babel.config.js
       • babel-worker.cjs
       • Makefile.source.mjs
       • Makefile.mjs
       • Gulpfile.mjs
       • scripts/set-module-type.js
       • scripts/rollup-plugin-standalone-internals.js

   ExpressionStatement:
     📄 Files WITH ExpressionStatement (showing 10):
       • yarn.config.cjs
       • jest.config.js
       • babel.config.js
       • babel-worker.cjs
       • Makefile.source.mjs
       • Makefile.mjs
       • Gulpfile.mjs
       • scripts/set-module-type.js
       • scripts/rollup-plugin-babel-source.js
       • scripts/rename-proposal-to-transform.js
     📄 Files WITHOUT ExpressionStatement (showing 10):
       • eslint.config.mjs
       • scripts/rollup-plugin-standalone-internals.js
       • scripts/rollup-plugin-dependency-condition.js
       • lib/third-party-libs.d.ts
       • lib/regexpu-core.d.ts
       • lib/libdom-minimal.d.ts
       • lib/kexec.d.ts
       • lib/globals.d.ts
       • lib/babel-plugin-dynamic-import-node.d.ts
       • lib/archived-libs.d.ts

   Property:
     📄 Files WITH Property (showing 10):
       • yarn.config.cjs
       • jest.config.js
       • eslint.config.mjs
       • babel.config.js
       • babel-worker.cjs
       • Makefile.source.mjs
       • Makefile.mjs
       • Gulpfile.mjs
       • scripts/set-module-type.js
       • scripts/rollup-plugin-standalone-internals.js
     📄 Files WITHOUT Property (showing 10):
       • scripts/postinstall.js
       • scripts/clone-license.js
       • lib/third-party-libs.d.ts
       • lib/regexpu-core.d.ts
       • lib/libdom-minimal.d.ts
       • lib/kexec.d.ts
       • lib/globals.d.ts
       • lib/archived-libs.d.ts
       • benchmark/util.mjs
       • benchmark/update-baselines.mjs

   BlockStatement:
     📄 Files WITH BlockStatement (showing 10):
       • yarn.config.cjs
       • babel.config.js
       • babel-worker.cjs
       • Makefile.source.mjs
       • Makefile.mjs
       • Gulpfile.mjs
       • scripts/set-module-type.js
       • scripts/rollup-plugin-standalone-internals.js
       • scripts/rollup-plugin-dependency-condition.js
       • scripts/rollup-plugin-babel-source.js
     📄 Files WITHOUT BlockStatement (showing 10):
       • jest.config.js
