   TSModuleDeclaration              17 files (  0.9%) -       22 total (0.00%)
   TSModuleBlock                    17 files (  0.9%) -       22 total (0.00%)
   TSObjectKeyword                  16 files (  0.9%) -       45 total (0.01%)
   MetaProperty                     15 files (  0.8%) -       30 total (0.01%)
   ContinueStatement                14 files (  0.8%) -       22 total (0.00%)
   TSParameterProperty              14 files (  0.8%) -       25 total (0.00%)
   ForInStatement                   13 files (  0.7%) -       14 total (0.00%)
   TSNeverKeyword                   13 files (  0.7%) -       26 total (0.00%)
   TSSymbolKeyword                  12 files (  0.7%) -       28 total (0.01%)
   TSCallSignatureDeclaration       11 files (  0.6%) -       41 total (0.01%)
   TSNamedTupleMember               10 files (  0.5%) -       90 total (0.02%)
   ExportAllDeclaration              9 files (  0.5%) -       11 total (0.00%)
   ImportExpression                  9 files (  0.5%) -       43 total (0.01%)
   YieldExpression                   8 files (  0.4%) -       14 total (0.00%)
   TSConditionalType                 8 files (  0.4%) -       35 total (0.01%)
   TSDeclareFunction                 7 files (  0.4%) -       20 total (0.00%)
   TSConstructorType                 7 files (  0.4%) -       11 total (0.00%)
   PrivateIdentifier                 7 files (  0.4%) -       53 total (0.01%)
   TSMappedType                      6 files (  0.3%) -       11 total (0.00%)
   TSInferType                       6 files (  0.3%) -       22 total (0.00%)
   TSRestType                        6 files (  0.3%) -       10 total (0.00%)
   Hashbang                          5 files (  0.3%) -        5 total (0.00%)
   SequenceExpression                5 files (  0.3%) -       13 total (0.00%)
   Decorator                         4 files (  0.2%) -        4 total (0.00%)
   TSEmptyBodyFunctionExpression     4 files (  0.2%) -       24 total (0.00%)
   TSBigIntKeyword                   3 files (  0.2%) -       13 total (0.00%)
   DoWhileStatement                  3 files (  0.2%) -        4 total (0.00%)
   JSXElement                        2 files (  0.1%) -        3 total (0.00%)
   JSXOpeningElement                 2 files (  0.1%) -        3 total (0.00%)
   JSXIdentifier                     2 files (  0.1%) -       13 total (0.00%)
   JSXAttribute                      2 files (  0.1%) -        9 total (0.00%)
   JSXExpressionContainer            2 files (  0.1%) -        7 total (0.00%)
   TSEnumDeclaration                 2 files (  0.1%) -        3 total (0.00%)
   TSEnumBody                        2 files (  0.1%) -        3 total (0.00%)
   TSEnumMember                      2 files (  0.1%) -       10 total (0.00%)
   TSAbstractMethodDefinition        2 files (  0.1%) -        5 total (0.00%)
   JSXText                           1 files (  0.1%) -        3 total (0.00%)
   JSXClosingElement                 1 files (  0.1%) -        1 total (0.00%)
   TSOptionalType                    1 files (  0.1%) -        1 total (0.00%)
   TSAbstractPropertyDefinition      1 files (  0.1%) -        1 total (0.00%)
   TSConstructSignatureDeclaration    1 files (  0.1%) -        1 total (0.00%)
   TSThisType                        1 files (  0.1%) -       13 total (0.00%)
   TSSatisfiesExpression             1 files (  0.1%) -        1 total (0.00%)
   ImportAttribute                   1 files (  0.1%) -        1 total (0.00%)

📝 ALL NODE TYPES (BY TOTAL COUNT):
   Identifier                      190,025 (34.54%) in 1740 files (94.9%)
   CallExpression                   53,683 (9.76%) in 1453 files (79.2%)
   Literal                          50,743 (9.22%) in 1703 files (92.9%)
   MemberExpression                 46,415 (8.44%) in 1570 files (85.6%)
   ExpressionStatement              26,751 (4.86%) in 1552 files (84.6%)
   Property                         18,432 (3.35%) in 882 files (48.1%)
   BlockStatement                   14,367 (2.61%) in 1402 files (76.4%)
   VariableDeclarator               12,669 (2.30%) in 1076 files (58.7%)
   VariableDeclaration              12,660 (2.30%) in 1076 files (58.7%)
   TSTypeAnnotation                 10,272 (1.87%) in 505 files (27.5%)
   ArrowFunctionExpression          10,144 (1.84%) in 1278 files (69.7%)
   ObjectExpression                  8,083 (1.47%) in 738 files (40.2%)
   TSTypeReference                   7,282 (1.32%) in 454 files (24.8%)
   ArrayExpression                   6,430 (1.17%) in 596 files (32.5%)
   Unknown                           6,231 (1.13%) in 452 files (24.6%)
   TemplateElement                   5,305 (0.96%) in 388 files (21.2%)
   BinaryExpression                  4,457 (0.81%) in 440 files (24.0%)
   AssignmentExpression              3,865 (0.70%) in 723 files (39.4%)
   TSTypeParameterInstantiation      3,592 (0.65%) in 342 files (18.6%)
   ThisExpression                    3,416 (0.62%) in 145 files (7.9%)
   ReturnStatement                   3,015 (0.55%) in 512 files (27.9%)
   ImportSpecifier                   2,981 (0.54%) in 698 files (38.1%)
   TSStringKeyword                   2,960 (0.54%) in 379 files (20.7%)
   IfStatement                       2,934 (0.53%) in 360 files (19.6%)
   ImportDeclaration                 2,770 (0.50%) in 840 files (45.8%)
