AST Analysis Report for TypeScript
Generated on: 2025-07-14T01:57:25.419Z
Repository: sample-repos/TypeScript
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/TypeScript

📁 Found 37995 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 37995
   Successfully parsed: 37994
   Failed to parse: 1
   Total file size: 136.4 MB

🌳 NODE STATISTICS:
   Total nodes: 4,243,595
   Average nodes per file: 112
   Average file size: 3.7 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                        37994 files (100.0%) -   37,994 total (0.90%)
   Identifier                     23628 files ( 62.2%) - 1,454,170 total (34.27%)
   Literal                        17545 files ( 46.2%) -  340,979 total (8.04%)
   ExpressionStatement            14299 files ( 37.6%) -  137,206 total (3.23%)
   MemberExpression               13514 files ( 35.6%) -  257,153 total (6.06%)
   CallExpression                 13484 files ( 35.5%) -  149,704 total (3.53%)
   VariableDeclaration            12494 files ( 32.9%) -  100,104 total (2.36%)
   VariableDeclarator             12494 files ( 32.9%) -  103,050 total (2.43%)
   BlockStatement                 10143 files ( 26.7%) -   95,724 total (2.26%)
   TSTypeAnnotation               8570 files ( 22.6%) -  214,270 total (5.05%)
   Super                           465 files (  1.2%) -    1,600 total (0.04%)
   TSIntersectionType              447 files (  1.2%) -    1,621 total (0.04%)
   TSTupleType                     441 files (  1.2%) -    1,972 total (0.05%)
   TSIndexedAccessType             418 files (  1.1%) -    2,442 total (0.06%)
   TSCallSignatureDeclaration      411 files (  1.1%) -    1,431 total (0.03%)
   ThrowStatement                  405 files (  1.1%) -    1,314 total (0.03%)
   TSEmptyBodyFunctionExpression   400 files (  1.1%) -    1,715 total (0.04%)
   EmptyStatement                  396 files (  1.0%) -      686 total (0.02%)
   BreakStatement                  384 files (  1.0%) -    2,847 total (0.07%)
   WhileStatement                  380 files (  1.0%) -    1,236 total (0.03%)
   SwitchStatement                 373 files (  1.0%) -    1,626 total (0.04%)
   TSParenthesizedType             373 files (  1.0%) -    1,745 total (0.04%)
   ExportSpecifier                 372 files (  1.0%) -    1,153 total (0.03%)
   SwitchCase                      370 files (  1.0%) -   10,911 total (0.26%)
   ForInStatement                  356 files (  0.9%) -      781 total (0.02%)
   TryStatement                    336 files (  0.9%) -    1,087 total (0.03%)
   ClassExpression                 328 files (  0.9%) -      868 total (0.02%)
   TSUnknownKeyword                327 files (  0.9%) -    1,081 total (0.03%)
   TSParameterProperty             325 files (  0.9%) -      890 total (0.02%)
   CatchClause                     316 files (  0.8%) -    1,012 total (0.02%)
   TSNonNullExpression             316 files (  0.8%) -    2,585 total (0.06%)
   Decorator                       310 files (  0.8%) -      952 total (0.02%)
   ImportDefaultSpecifier          306 files (  0.8%) -      526 total (0.01%)
   JSXElement                      298 files (  0.8%) -    1,228 total (0.03%)
   JSXOpeningElement               298 files (  0.8%) -    1,228 total (0.03%)
   JSXIdentifier                   298 files (  0.8%) -    2,617 total (0.06%)
   TSMappedType                    296 files (  0.8%) -      777 total (0.02%)
   TSExportAssignment              294 files (  0.8%) -      392 total (0.01%)
   TSNeverKeyword                  293 files (  0.8%) -    1,095 total (0.03%)
   YieldExpression                 272 files (  0.7%) -      935 total (0.02%)
   TSConstructSignatureDeclaration  268 files (  0.7%) -    2,369 total (0.06%)
   TSConditionalType               257 files (  0.7%) -    1,273 total (0.03%)
   PrivateIdentifier               257 files (  0.7%) -    1,694 total (0.04%)
   ContinueStatement               256 files (  0.7%) -    1,457 total (0.03%)
   ChainExpression                 247 files (  0.7%) -    2,228 total (0.05%)
