AST Analysis Report for tailwindcss
Generated on: 2025-07-14T02:08:15.160Z
Repository: sample-repos/tailwindcss
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/tailwindcss

📁 Found 309 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 309
   Successfully parsed: 309
   Failed to parse: 0
   Total file size: 2.9 MB

🌳 NODE STATISTICS:
   Total nodes: 225,981
   Average nodes per file: 731
   Average file size: 9.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   TSParenthesizedType                15 files (  4.9%) -            27 total ( 0.01%)
   ThisExpression                     11 files (  3.6%) -           193 total ( 0.09%)
   YieldExpression                    11 files (  3.6%) -            37 total ( 0.02%)
   TSMethodSignature                  10 files (  3.2%) -            45 total ( 0.02%)
   TSEnumDeclaration                  10 files (  3.2%) -            11 total ( 0.00%)
   TSEnumBody                         10 files (  3.2%) -            11 total ( 0.00%)
   TSEnumMember                       10 files (  3.2%) -            40 total ( 0.02%)
   TSNeverKeyword                     10 files (  3.2%) -            17 total ( 0.01%)
   TSUnknownKeyword                    9 files (  2.9%) -            24 total ( 0.01%)
   ClassDeclaration                    9 files (  2.9%) -            10 total ( 0.00%)
   ClassBody                           9 files (  2.9%) -            10 total ( 0.00%)
   MethodDefinition                    9 files (  2.9%) -            81 total ( 0.04%)
   TSBigIntKeyword                     9 files (  2.9%) -            11 total ( 0.00%)
   PropertyDefinition                  7 files (  2.3%) -            25 total ( 0.01%)
   TSIntersectionType                  7 files (  2.3%) -             8 total ( 0.00%)
   ForInStatement                      6 files (  1.9%) -            10 total ( 0.00%)
   RestElement                         6 files (  1.9%) -            12 total ( 0.01%)
   TSTypeOperator                      6 files (  1.9%) -            17 total ( 0.01%)
   JSXElement                          6 files (  1.9%) -            12 total ( 0.01%)
   JSXOpeningElement                   6 files (  1.9%) -            12 total ( 0.01%)
   JSXIdentifier                       6 files (  1.9%) -            34 total ( 0.02%)
   JSXText                             6 files (  1.9%) -            13 total ( 0.01%)
   JSXClosingElement                   6 files (  1.9%) -            11 total ( 0.00%)
   TSIndexSignature                    5 files (  1.6%) -             7 total ( 0.00%)
   TSTemplateLiteralType               5 files (  1.6%) -            14 total ( 0.01%)
   ExportSpecifier                     5 files (  1.6%) -            12 total ( 0.01%)
   TSNamedTupleMember                  5 files (  1.6%) -            19 total ( 0.01%)
   JSXAttribute                        5 files (  1.6%) -             9 total ( 0.00%)
   TSObjectKeyword                     4 files (  1.3%) -             5 total ( 0.00%)
   TSParameterProperty                 4 files (  1.3%) -            10 total ( 0.00%)
   LabeledStatement                    4 files (  1.3%) -             4 total ( 0.00%)
   PrivateIdentifier                   3 files (  1.0%) -            42 total ( 0.02%)
   TSModuleDeclaration                 3 files (  1.0%) -             3 total ( 0.00%)
   TSModuleBlock                       3 files (  1.0%) -             3 total ( 0.00%)
   DoWhileStatement                    3 files (  1.0%) -             4 total ( 0.00%)
   Hashbang                            3 files (  1.0%) -             3 total ( 0.00%)
   ImportExpression                    3 files (  1.0%) -            14 total ( 0.01%)
   JSXExpressionContainer              3 files (  1.0%) -             7 total ( 0.00%)
   TSConditionalType                   3 files (  1.0%) -             5 total ( 0.00%)
   Super                               2 files (  0.6%) -             4 total ( 0.00%)
   JSXEmptyExpression                  2 files (  0.6%) -             2 total ( 0.00%)
   TSTypePredicate                     2 files (  0.6%) -             2 total ( 0.00%)
   TSMappedType                        2 files (  0.6%) -             2 total ( 0.00%)
   EmptyStatement                      1 files (  0.3%) -             1 total ( 0.00%)
   ImportAttribute                     1 files (  0.3%) -             4 total ( 0.00%)
   TSClassImplements                   1 files (  0.3%) -             1 total ( 0.00%)
   ExportAllDeclaration                1 files (  0.3%) -             5 total ( 0.00%)
   JSXMemberExpression                 1 files (  0.3%) -             2 total ( 0.00%)
   TSInterfaceHeritage                 1 files (  0.3%) -             1 total ( 0.00%)
   TSCallSignatureDeclaration          1 files (  0.3%) -             1 total ( 0.00%)
   TSInferType                         1 files (  0.3%) -             1 total ( 0.00%)

📝 ALL NODE TYPES (BY TOTAL COUNT):
   Identifier                            67,158 (29.72%) in    307 files ( 99.4%)
   Literal                               31,891 (14.11%) in    301 files ( 97.4%)
   CallExpression                        18,441 ( 8.16%) in    291 files ( 94.2%)
   MemberExpression                      13,883 ( 6.14%) in    280 files ( 90.6%)
   Property                               8,936 ( 3.95%) in    234 files ( 75.7%)
   ExpressionStatement                    8,645 ( 3.83%) in    259 files ( 83.8%)
   Unknown                                6,233 ( 2.76%) in    197 files ( 63.8%)
   BlockStatement                         5,785 ( 2.56%) in    280 files ( 90.6%)
   TemplateElement                        5,751 ( 2.54%) in    186 files ( 60.2%)
   ArrayExpression                        5,504 ( 2.44%) in    206 files ( 66.7%)
   TemplateLiteral                        4,578 ( 2.03%) in    185 files ( 59.9%)
   VariableDeclaration                    4,010 ( 1.77%) in    260 files ( 84.1%)
   VariableDeclarator                     4,010 ( 1.77%) in    260 files ( 84.1%)
   ObjectExpression                       3,374 ( 1.49%) in    231 files ( 74.8%)
   ArrowFunctionExpression                3,339 ( 1.48%) in    223 files ( 72.2%)
   BinaryExpression                       2,956 ( 1.31%) in    173 files ( 56.0%)
   AwaitExpression                        2,614 ( 1.16%) in    130 files ( 42.1%)
   TSTypeAnnotation                       2,586 ( 1.14%) in    180 files ( 58.3%)
   IfStatement                            2,450 ( 1.08%) in    170 files ( 55.0%)
