AST Analysis Report for tailwindcss
Generated on: 2025-07-14T02:08:15.160Z
Repository: sample-repos/tailwindcss
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/tailwindcss

📁 Found 309 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 309
   Successfully parsed: 309
   Failed to parse: 0
   Total file size: 2.9 MB

🌳 NODE STATISTICS:
   Total nodes: 225,981
   Average nodes per file: 731
   Average file size: 9.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
       • vitest.workspace.ts
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/@tailwindcss-postcss/tsup.config.ts
       • packages/@tailwindcss-upgrade/tsup.config.ts
       • packages/@tailwindcss-node/tsup.config.ts
       • packages/@tailwindcss-cli/tsup.config.ts

   TemplateElement:
     📄 Files WITH TemplateElement (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • integrations/webpack/index.test.ts
       • integrations/upgrade/js-config.test.ts
       • integrations/upgrade/index.test.ts
       • integrations/vite/vue.test.ts
       • integrations/vite/virtual-modules.test.ts
     📄 Files WITHOUT TemplateElement (showing 10):
       • vitest.workspace.ts
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/internal-example-plugin/index.js
       • packages/@tailwindcss-postcss/tsup.config.ts

   ArrayExpression:
     📄 Files WITH ArrayExpression (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/internal-example-plugin/index.js
     📄 Files WITHOUT ArrayExpression (showing 10):
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • integrations/vitest.config.ts
       • integrations/webpack/index.test.ts
       • integrations/upgrade/js-config.test.ts
       • integrations/vite/source-maps.test.ts
       • integrations/vite/solidstart.test.ts
       • integrations/vite/qwik.test.ts
       • integrations/vite/nuxt.test.ts

   TemplateLiteral:
     📄 Files WITH TemplateLiteral (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • integrations/webpack/index.test.ts
       • integrations/upgrade/js-config.test.ts
       • integrations/upgrade/index.test.ts
       • integrations/vite/vue.test.ts
       • integrations/vite/virtual-modules.test.ts
     📄 Files WITHOUT TemplateLiteral (showing 10):
       • vitest.workspace.ts
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/internal-example-plugin/index.js
       • packages/@tailwindcss-postcss/tsup.config.ts

   VariableDeclaration:
     📄 Files WITH VariableDeclaration (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • packages/tailwindcss/vitest.config.ts
       • integrations/webpack/index.test.ts
       • integrations/upgrade/index.test.ts
     📄 Files WITHOUT VariableDeclaration (showing 10):
       • vitest.workspace.ts
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/internal-example-plugin/index.js
       • packages/@tailwindcss-postcss/tsup.config.ts
       • packages/@tailwindcss-upgrade/tsup.config.ts
       • packages/@tailwindcss-node/tsup.config.ts
       • packages/@tailwindcss-cli/tsup.config.ts

   VariableDeclarator:
     📄 Files WITH VariableDeclarator (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • packages/tailwindcss/vitest.config.ts
       • integrations/webpack/index.test.ts
       • integrations/upgrade/index.test.ts
     📄 Files WITHOUT VariableDeclarator (showing 10):
       • vitest.workspace.ts
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/internal-example-plugin/index.js
       • packages/@tailwindcss-postcss/tsup.config.ts
       • packages/@tailwindcss-upgrade/tsup.config.ts
       • packages/@tailwindcss-node/tsup.config.ts
       • packages/@tailwindcss-cli/tsup.config.ts

   ObjectExpression:
     📄 Files WITH ObjectExpression (showing 10):
       • scripts/version-packages.mjs
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • integrations/utils.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
     📄 Files WITHOUT ObjectExpression (showing 10):
       • vitest.workspace.ts
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • packages/internal-example-plugin/index.js
       • packages/tailwindcss/src/utilities.test.ts
       • packages/tailwindcss/src/sort.ts
       • packages/tailwindcss/src/sort.test.ts
       • packages/tailwindcss/src/sort.bench.ts
       • packages/tailwindcss/src/property-order.ts
       • packages/tailwindcss/src/node.d.ts

   ArrowFunctionExpression:
     📄 Files WITH ArrowFunctionExpression (showing 10):
       • scripts/version-packages.mjs
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • integrations/webpack/index.test.ts
       • integrations/upgrade/js-config.test.ts
       • integrations/upgrade/index.test.ts
       • integrations/vite/vue.test.ts
       • integrations/vite/virtual-modules.test.ts
     📄 Files WITHOUT ArrowFunctionExpression (showing 10):
       • vitest.workspace.ts
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/internal-example-plugin/index.js
       • packages/@tailwindcss-postcss/tsup.config.ts

   BinaryExpression:
     📄 Files WITH BinaryExpression (showing 10):
       • scripts/version-packages.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/@tailwindcss-browser/playwright.config.ts
       • integrations/upgrade/index.test.ts
       • integrations/vite/url-rewriting.test.ts
       • integrations/vite/resolvers.test.ts
       • integrations/vite/react-router.test.ts
     📄 Files WITHOUT BinaryExpression (showing 10):
       • vitest.workspace.ts
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/internal-example-plugin/index.js
       • packages/@tailwindcss-postcss/tsup.config.ts

   AwaitExpression:
     📄 Files WITH AwaitExpression (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • integrations/webpack/index.test.ts
       • integrations/upgrade/js-config.test.ts
       • integrations/upgrade/index.test.ts
       • integrations/vite/vue.test.ts
     📄 Files WITHOUT AwaitExpression (showing 10):
       • vitest.workspace.ts
       • scripts/release-channel.js
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/internal-example-plugin/index.js
       • packages/@tailwindcss-postcss/tsup.config.ts
       • packages/@tailwindcss-upgrade/tsup.config.ts

   TSTypeAnnotation:
     📄 Files WITH TSTypeAnnotation (showing 10):
       • integrations/utils.ts
       • integrations/upgrade/index.test.ts
       • integrations/vite/other-transforms.test.ts
       • integrations/vite/index.test.ts
       • integrations/cli/index.test.ts
       • integrations/oxide/postinstall.test.ts
       • integrations/postcss/next.test.ts
       • packages/@tailwindcss-vite/src/index.ts
       • packages/tailwindcss/tests/ui.spec.ts
       • packages/tailwindcss/src/variants.ts
     📄 Files WITHOUT TSTypeAnnotation (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts

   IfStatement:
     📄 Files WITH IfStatement (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • integrations/upgrade/index.test.ts
       • integrations/vite/virtual-modules.test.ts
       • integrations/vite/source-maps.test.ts
       • integrations/vite/solidstart.test.ts
     📄 Files WITHOUT IfStatement (showing 10):
       • vitest.workspace.ts
       • scripts/pre-publish-optimizations.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/internal-example-plugin/index.js
       • packages/@tailwindcss-postcss/tsup.config.ts
       • packages/@tailwindcss-upgrade/tsup.config.ts

   TaggedTemplateExpression:
     📄 Files WITH TaggedTemplateExpression (showing 10):
       • integrations/utils.ts
       • integrations/webpack/index.test.ts
       • integrations/upgrade/js-config.test.ts
       • integrations/upgrade/index.test.ts
       • integrations/vite/vue.test.ts
       • integrations/vite/virtual-modules.test.ts
       • integrations/vite/url-rewriting.test.ts
       • integrations/vite/svelte.test.ts
       • integrations/vite/ssr.test.ts
       • integrations/vite/source-maps.test.ts
     📄 Files WITHOUT TaggedTemplateExpression (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts

   ReturnStatement:
     📄 Files WITH ReturnStatement (showing 10):
       • scripts/version-packages.mjs
       • scripts/pack-packages.mjs
       • integrations/utils.ts
       • integrations/upgrade/index.test.ts
       • integrations/vite/virtual-modules.test.ts
       • integrations/vite/source-maps.test.ts
       • integrations/vite/solidstart.test.ts
       • integrations/vite/resolvers.test.ts
       • integrations/vite/react-router.test.ts
       • integrations/vite/qwik.test.ts
     📄 Files WITHOUT ReturnStatement (showing 10):
       • vitest.workspace.ts
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts

   ImportSpecifier:
     📄 Files WITH ImportSpecifier (showing 10):
       • scripts/version-packages.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • integrations/utils.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/@tailwindcss-postcss/tsup.config.ts
     📄 Files WITHOUT ImportSpecifier (showing 10):
       • vitest.workspace.ts
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • packages/internal-example-plugin/index.js
       • playgrounds/nextjs/postcss.config.js
       • playgrounds/nextjs/next.config.mjs
       • playgrounds/v3/tailwind.config.js
       • playgrounds/v3/postcss.config.js
       • playgrounds/v3/next.config.mjs

   TSTypeReference:
     📄 Files WITH TSTypeReference (showing 10):
       • integrations/utils.ts
       • integrations/vite/other-transforms.test.ts
       • packages/@tailwindcss-vite/src/index.ts
       • packages/tailwindcss/tests/ui.spec.ts
       • packages/tailwindcss/src/variants.ts
       • packages/tailwindcss/src/value-parser.ts
       • packages/tailwindcss/src/utilities.ts
       • packages/tailwindcss/src/theme.ts
       • packages/tailwindcss/src/sort.ts
       • packages/tailwindcss/src/sort.test.ts
     📄 Files WITHOUT TSTypeReference (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts

   AssignmentExpression:
     📄 Files WITH AssignmentExpression (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • packages/internal-example-plugin/index.js
       • integrations/vite/virtual-modules.test.ts
       • integrations/vite/source-maps.test.ts
       • integrations/vite/solidstart.test.ts
       • integrations/vite/resolvers.test.ts
       • integrations/vite/react-router.test.ts
     📄 Files WITHOUT AssignmentExpression (showing 10):
       • vitest.workspace.ts
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/@tailwindcss-postcss/tsup.config.ts

   LogicalExpression:
     📄 Files WITH LogicalExpression (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • packages/tailwindcss/tsup.config.ts
       • integrations/vite/vue.test.ts
       • packages/@tailwindcss-vite/src/index.ts
       • packages/tailwindcss/src/variants.ts
     📄 Files WITHOUT LogicalExpression (showing 10):
       • vitest.workspace.ts
       • scripts/pre-publish-optimizations.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/internal-example-plugin/index.js
       • packages/@tailwindcss-postcss/tsup.config.ts
       • packages/@tailwindcss-upgrade/tsup.config.ts
       • packages/@tailwindcss-node/tsup.config.ts

   TSStringKeyword:
     📄 Files WITH TSStringKeyword (showing 10):
       • integrations/utils.ts
       • integrations/upgrade/index.test.ts
       • integrations/vite/index.test.ts
       • integrations/cli/index.test.ts
       • integrations/oxide/postinstall.test.ts
       • integrations/postcss/next.test.ts
       • packages/@tailwindcss-vite/src/index.ts
       • packages/tailwindcss/tests/ui.spec.ts
       • packages/tailwindcss/src/variants.ts
       • packages/tailwindcss/src/variants.test.ts
     📄 Files WITHOUT TSStringKeyword (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts

   ImportDeclaration:
     📄 Files WITH ImportDeclaration (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • integrations/utils.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
     📄 Files WITHOUT ImportDeclaration (showing 10):
       • vitest.workspace.ts
       • scripts/release-channel.js
       • packages/internal-example-plugin/index.js
       • playgrounds/nextjs/postcss.config.js
       • playgrounds/nextjs/next.config.mjs
       • playgrounds/v3/tailwind.config.js
       • playgrounds/v3/postcss.config.js
       • playgrounds/v3/next.config.mjs
       • packages/tailwindcss/src/value-parser.ts
       • packages/tailwindcss/src/property-order.ts

   ObjectPattern:
     📄 Files WITH ObjectPattern (showing 10):
       • scripts/pack-packages.mjs
       • integrations/utils.ts
       • packages/internal-example-plugin/index.js
       • integrations/webpack/index.test.ts
       • integrations/upgrade/js-config.test.ts
       • integrations/upgrade/index.test.ts
       • integrations/vite/vue.test.ts
       • integrations/vite/virtual-modules.test.ts
       • integrations/vite/url-rewriting.test.ts
       • integrations/vite/svelte.test.ts
     📄 Files WITHOUT ObjectPattern (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts

   UnaryExpression:
     📄 Files WITH UnaryExpression (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/@tailwindcss-browser/playwright.config.ts
       • packages/@tailwindcss-vite/src/index.ts
       • packages/tailwindcss/src/variants.ts
       • packages/tailwindcss/src/utilities.ts
     📄 Files WITHOUT UnaryExpression (showing 10):
       • vitest.workspace.ts
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/internal-example-plugin/index.js
       • packages/@tailwindcss-postcss/tsup.config.ts
       • packages/@tailwindcss-upgrade/tsup.config.ts

   TSPropertySignature:
     📄 Files WITH TSPropertySignature (showing 10):
       • integrations/utils.ts
       • packages/@tailwindcss-vite/src/index.ts
       • packages/tailwindcss/src/variants.ts
       • packages/tailwindcss/src/value-parser.ts
       • packages/tailwindcss/src/utilities.ts
       • packages/tailwindcss/src/theme.ts
       • packages/tailwindcss/src/node.d.ts
       • packages/tailwindcss/src/intellisense.ts
       • packages/tailwindcss/src/index.ts
       • packages/tailwindcss/src/design-system.ts
     📄 Files WITHOUT TSPropertySignature (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts

   FunctionDeclaration:
     📄 Files WITH FunctionDeclaration (showing 10):
       • scripts/pack-packages.mjs
       • integrations/utils.ts
       • integrations/upgrade/index.test.ts
       • integrations/vite/other-transforms.test.ts
       • integrations/vite/index.test.ts
       • integrations/cli/index.test.ts
       • integrations/oxide/postinstall.test.ts
       • packages/@tailwindcss-vite/src/index.ts
       • packages/tailwindcss/tests/ui.spec.ts
       • packages/tailwindcss/src/variants.ts
     📄 Files WITHOUT FunctionDeclaration (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts

   NewExpression:
     📄 Files WITH NewExpression (showing 10):
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • integrations/utils.ts
       • packages/tailwindcss/vitest.config.ts
       • integrations/cli/standalone.test.ts
       • integrations/cli/index.test.ts
       • integrations/postcss/source.test.ts
       • integrations/postcss/next.test.ts
     📄 Files WITHOUT NewExpression (showing 10):
       • vitest.workspace.ts
       • scripts/release-channel.js
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/internal-example-plugin/index.js
       • packages/@tailwindcss-postcss/tsup.config.ts
       • packages/@tailwindcss-upgrade/tsup.config.ts

   ForOfStatement:
     📄 Files WITH ForOfStatement (showing 10):
       • scripts/version-packages.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/utils.ts
       • integrations/oxide/postinstall.test.ts
       • integrations/postcss/next.test.ts
       • packages/@tailwindcss-vite/src/index.ts
       • packages/tailwindcss/tests/ui.spec.ts
       • packages/tailwindcss/src/variants.ts
       • packages/tailwindcss/src/variants.test.ts
     📄 Files WITHOUT ForOfStatement (showing 10):
       • vitest.workspace.ts
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/internal-example-plugin/index.js

   TSUnionType:
     📄 Files WITH TSUnionType (showing 10):
       • integrations/utils.ts
       • integrations/vite/other-transforms.test.ts
       • integrations/postcss/next.test.ts
       • packages/@tailwindcss-vite/src/index.ts
       • packages/tailwindcss/tests/ui.spec.ts
       • packages/tailwindcss/src/variants.ts
       • packages/tailwindcss/src/value-parser.ts
       • packages/tailwindcss/src/utilities.ts
       • packages/tailwindcss/src/theme.ts
       • packages/tailwindcss/src/sort.ts
     📄 Files WITHOUT TSUnionType (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts

   TSArrayType:
     📄 Files WITH TSArrayType (showing 10):
       • integrations/utils.ts
       • packages/@tailwindcss-vite/src/index.ts
       • packages/tailwindcss/src/variants.ts
       • packages/tailwindcss/src/variants.test.ts
       • packages/tailwindcss/src/value-parser.ts
       • packages/tailwindcss/src/utilities.ts
       • packages/tailwindcss/src/theme.ts
       • packages/tailwindcss/src/sort.ts
       • packages/tailwindcss/src/sort.test.ts
       • packages/tailwindcss/src/intellisense.ts
     📄 Files WITHOUT TSArrayType (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts

   ParenthesizedExpression:
     📄 Files WITH ParenthesizedExpression (showing 10):
       • scripts/version-packages.mjs
       • integrations/utils.ts
       • integrations/upgrade/js-config.test.ts
       • integrations/vite/svelte.test.ts
       • integrations/cli/standalone.test.ts
       • integrations/cli/index.test.ts
       • integrations/oxide/postinstall.test.ts
       • packages/@tailwindcss-vite/src/index.ts
       • packages/tailwindcss/tests/ui.spec.ts
       • packages/tailwindcss/src/variants.ts
     📄 Files WITHOUT ParenthesizedExpression (showing 10):
       • vitest.workspace.ts
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts
       • packages/tailwindcss/tsup.config.ts

   TSTypeParameterInstantiation:
     📄 Files WITH TSTypeParameterInstantiation (showing 10):
       • integrations/utils.ts
       • packages/@tailwindcss-vite/src/index.ts
       • packages/tailwindcss/src/variants.ts
       • packages/tailwindcss/src/utilities.ts
       • packages/tailwindcss/src/theme.ts
       • packages/tailwindcss/src/sort.ts
       • packages/tailwindcss/src/plugin.ts
       • packages/tailwindcss/src/intellisense.ts
       • packages/tailwindcss/src/index.ts
       • packages/tailwindcss/src/design-system.ts
     📄 Files WITHOUT TSTypeParameterInstantiation (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts

   ExportNamedDeclaration:
     📄 Files WITH ExportNamedDeclaration (showing 10):
       • integrations/utils.ts
       • packages/tailwindcss/src/variants.ts
       • packages/tailwindcss/src/value-parser.ts
       • packages/tailwindcss/src/utilities.ts
       • packages/tailwindcss/src/theme.ts
       • packages/tailwindcss/src/sort.ts
       • packages/tailwindcss/src/plugin.ts
       • packages/tailwindcss/src/intellisense.ts
       • packages/tailwindcss/src/index.ts
       • packages/tailwindcss/src/design-system.ts
     📄 Files WITHOUT ExportNamedDeclaration (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • packages/@tailwindcss-vite/tsup.config.ts
       • packages/tailwindcss/vitest.config.ts

   Program:
     📄 Files WITH Program (showing 10):
       • vitest.workspace.ts
       • scripts/version-packages.mjs
       • scripts/release-notes.mjs
       • scripts/release-channel.js
       • scripts/pre-publish-optimizations.mjs
       • scripts/pack-packages.mjs
       • scripts/lock-pre-release-versions.mjs
       • integrations/vitest.config.ts
       • integrations/utils.ts
       • packages/@tailwindcss-vite/tsup.config.ts
     📄 Files WITHOUT Program: (all files contain this node type)

   ConditionalExpression:
     📄 Files WITH ConditionalExpression (showing 10):
       • scripts/pack-packages.mjs
       • integrations/utils.ts
       • packages/tailwindcss/playwright.config.ts
       • packages/@tailwindcss-browser/playwright.config.ts
       • integrations/vite/url-rewriting.test.ts
       • integrations/vite/resolvers.test.ts
       • integrations/vite/other-transforms.test.ts
       • integrations/vite/index.test.ts
       • integrations/vite/css-modules.test.ts
       • integrations/cli/standalone.test.ts
