AST Analysis Report for swc
Generated on: 2025-07-14T02:08:14.847Z
Repository: sample-repos/swc
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/swc

📁 Found 32352 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 32352
   Successfully parsed: 32351
   Failed to parse: 1
   Total file size: 80.6 MB

🌳 NODE STATISTICS:
   Total nodes: 9,205,843
   Average nodes per file: 285
   Average file size: 2.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                         32351 files (100.0%) -        32,351 total ( 0.35%)
   Identifier                      27395 files ( 84.7%) -     3,602,763 total (39.14%)
   Literal                         22070 files ( 68.2%) -       663,203 total ( 7.20%)
   ExpressionStatement             20357 files ( 62.9%) -       316,847 total ( 3.44%)
   BlockStatement                  17414 files ( 53.8%) -       312,799 total ( 3.40%)
   CallExpression                  16691 files ( 51.6%) -       508,424 total ( 5.52%)
   VariableDeclaration             16592 files ( 51.3%) -       227,461 total ( 2.47%)
   VariableDeclarator              16592 files ( 51.3%) -       285,766 total ( 3.10%)
   MemberExpression                15061 files ( 46.6%) -       797,746 total ( 8.67%)
   FunctionExpression              10511 files ( 32.5%) -        91,288 total ( 0.99%)
   AssignmentExpression             8503 files ( 26.3%) -       208,911 total ( 2.27%)
   FunctionDeclaration              8275 files ( 25.6%) -        62,733 total ( 0.68%)
   TSDeclareFunction                 430 files (  1.3%) -         3,239 total ( 0.04%)
   TSFunctionType                    407 files (  1.3%) -         6,316 total ( 0.07%)
   TSTypeAliasDeclaration            376 files (  1.2%) -         5,209 total ( 0.06%)
   LabeledStatement                  337 files (  1.0%) -           668 total ( 0.01%)
   TSLiteralType                     318 files (  1.0%) -         5,372 total ( 0.06%)
   DoWhileStatement                  289 files (  0.9%) -           747 total ( 0.01%)
   ContinueStatement                 288 files (  0.9%) -         1,800 total ( 0.02%)
   TSMethodSignature                 285 files (  0.9%) -         3,066 total ( 0.03%)
   ImportDefaultSpecifier            284 files (  0.9%) -           955 total ( 0.01%)
   TSIndexSignature                  280 files (  0.9%) -         1,235 total ( 0.01%)
   StaticBlock                       269 files (  0.8%) -           998 total ( 0.01%)
   TSTypeQuery                       234 files (  0.7%) -         3,843 total ( 0.04%)
   TSEnumDeclaration                 232 files (  0.7%) -           560 total ( 0.01%)
   TSEnumBody                        232 files (  0.7%) -           560 total ( 0.01%)
   TaggedTemplateExpression          231 files (  0.7%) -           746 total ( 0.01%)
   JSXElement                        230 files (  0.7%) -         3,869 total ( 0.04%)
   JSXOpeningElement                 230 files (  0.7%) -         3,869 total ( 0.04%)
   JSXIdentifier                     230 files (  0.7%) -        12,288 total ( 0.13%)
   ImportNamespaceSpecifier          221 files (  0.7%) -           292 total ( 0.00%)
   ChainExpression                   218 files (  0.7%) -         1,686 total ( 0.02%)
   TSAsExpression                    218 files (  0.7%) -        10,699 total ( 0.12%)
   TSEnumMember                      207 files (  0.6%) -         1,847 total ( 0.02%)
   TSQualifiedName                   197 files (  0.6%) -         1,003 total ( 0.01%)
   TSUndefinedKeyword                194 files (  0.6%) -         3,177 total ( 0.03%)
   TSInterfaceHeritage               193 files (  0.6%) -         1,217 total ( 0.01%)
   TSImportEqualsDeclaration         176 files (  0.5%) -           248 total ( 0.00%)
   TSCallSignatureDeclaration        168 files (  0.5%) -           746 total ( 0.01%)
   TSTupleType                       158 files (  0.5%) -         1,235 total ( 0.01%)
   ImportExpression                  156 files (  0.5%) -           421 total ( 0.00%)
   TSEmptyBodyFunctionExpression     153 files (  0.5%) -           519 total ( 0.01%)
   ExportAllDeclaration              152 files (  0.5%) -           256 total ( 0.00%)
   JSXClosingElement                 152 files (  0.5%) -         2,354 total ( 0.03%)
   TSExternalModuleReference         145 files (  0.4%) -           183 total ( 0.00%)
   TSParameterProperty               138 files (  0.4%) -           500 total ( 0.01%)
   JSXAttribute                      135 files (  0.4%) -         5,974 total ( 0.06%)
   TSIntersectionType                132 files (  0.4%) -         1,951 total ( 0.02%)
   TSUnknownKeyword                  126 files (  0.4%) -         1,730 total ( 0.02%)
   TSParenthesizedType               125 files (  0.4%) -         1,882 total ( 0.02%)
   TSTypeOperator                    124 files (  0.4%) -         1,552 total ( 0.02%)
   WithStatement                     123 files (  0.4%) -           127 total ( 0.00%)
   TSConstructSignatureDeclaration    117 files (  0.4%) -           862 total ( 0.01%)
   JSXText                           116 files (  0.4%) -         5,252 total ( 0.06%)
   JSXExpressionContainer            115 files (  0.4%) -         4,347 total ( 0.05%)
   AccessorProperty                  111 files (  0.3%) -           285 total ( 0.00%)
   TSNullKeyword                     110 files (  0.3%) -        10,971 total ( 0.12%)
   TSClassImplements                 108 files (  0.3%) -           175 total ( 0.00%)
   TSTypeAssertion                    99 files (  0.3%) -           334 total ( 0.00%)
   MetaProperty                       97 files (  0.3%) -           169 total ( 0.00%)
   TSIndexedAccessType                92 files (  0.3%) -         1,658 total ( 0.02%)
   TSNeverKeyword                     79 files (  0.2%) -           547 total ( 0.01%)
   ImportAttribute                    77 files (  0.2%) -           112 total ( 0.00%)
   TSObjectKeyword                    74 files (  0.2%) -           319 total ( 0.00%)
   TSTypePredicate                    74 files (  0.2%) -           347 total ( 0.00%)
   TSMappedType                       70 files (  0.2%) -           406 total ( 0.00%)
   JSXSpreadAttribute                 68 files (  0.2%) -           346 total ( 0.00%)
   TSExportAssignment                 65 files (  0.2%) -           103 total ( 0.00%)
   TSConditionalType                  62 files (  0.2%) -           862 total ( 0.01%)
   TSNonNullExpression                60 files (  0.2%) -         7,054 total ( 0.08%)
   TSConstructorType                  60 files (  0.2%) -           641 total ( 0.01%)
   TSSymbolKeyword                    59 files (  0.2%) -           527 total ( 0.01%)
   TSThisType                         55 files (  0.2%) -           268 total ( 0.00%)
   DebuggerStatement                  38 files (  0.1%) -            44 total ( 0.00%)
   TSInferType                        30 files (  0.1%) -           524 total ( 0.01%)
   TSTemplateLiteralType              29 files (  0.1%) -           394 total ( 0.00%)
   TSRestType                         24 files (  0.1%) -           160 total ( 0.00%)
   TSImportType                       22 files (  0.1%) -            50 total ( 0.00%)
   JSXFragment                        21 files (  0.1%) -           230 total ( 0.00%)
   JSXOpeningFragment                 21 files (  0.1%) -           230 total ( 0.00%)
   JSXClosingFragment                 21 files (  0.1%) -           230 total ( 0.00%)
   TSAbstractMethodDefinition         20 files (  0.1%) -            47 total ( 0.00%)
   TSSatisfiesExpression              17 files (  0.1%) -           151 total ( 0.00%)
   TSInstantiationExpression          14 files (  0.0%) -           120 total ( 0.00%)
   JSXMemberExpression                13 files (  0.0%) -            63 total ( 0.00%)
   TSNamedTupleMember                 12 files (  0.0%) -           124 total ( 0.00%)
   TSBigIntKeyword                    11 files (  0.0%) -            34 total ( 0.00%)
   TSAbstractPropertyDefinition        9 files (  0.0%) -            20 total ( 0.00%)
   TSOptionalType                      8 files (  0.0%) -            21 total ( 0.00%)
   JSXEmptyExpression                  7 files (  0.0%) -            75 total ( 0.00%)
   Hashbang                            6 files (  0.0%) -             6 total ( 0.00%)
   JSXNamespacedName                   4 files (  0.0%) -            28 total ( 0.00%)
   JSXSpreadChild                      3 files (  0.0%) -             6 total ( 0.00%)
   TSAbstractAccessorProperty          3 files (  0.0%) -             3 total ( 0.00%)
   TSIntrinsicKeyword                  2 files (  0.0%) -             3 total ( 0.00%)
   TSNamespaceExportDeclaration        1 files (  0.0%) -             1 total ( 0.00%)

📝 ALL NODE TYPES (BY TOTAL COUNT):
   Identifier                         3,602,763 (39.14%) in  27395 files ( 84.7%)
   MemberExpression                     797,746 ( 8.67%) in  15061 files ( 46.6%)
   Literal                              663,203 ( 7.20%) in  22070 files ( 68.2%)
   CallExpression                       508,424 ( 5.52%) in  16691 files ( 51.6%)
   ExpressionStatement                  316,847 ( 3.44%) in  20357 files ( 62.9%)
   BlockStatement                       312,799 ( 3.40%) in  17414 files ( 53.8%)
   VariableDeclarator                   285,766 ( 3.10%) in  16592 files ( 51.3%)
   VariableDeclaration                  227,461 ( 2.47%) in  16592 files ( 51.3%)
   BinaryExpression                     225,721 ( 2.45%) in   5535 files ( 17.1%)
   AssignmentExpression                 208,911 ( 2.27%) in   8503 files ( 26.3%)
   Property                             187,984 ( 2.04%) in   6787 files ( 21.0%)
   ReturnStatement                      135,720 ( 1.47%) in   8246 files ( 25.5%)
   LogicalExpression                    123,104 ( 1.34%) in   2882 files (  8.9%)
   IfStatement                          120,662 ( 1.31%) in   2472 files (  7.6%)
   TSTypeAnnotation                     117,396 ( 1.28%) in   3184 files (  9.8%)
   UnaryExpression                       96,655 ( 1.05%) in   4237 files ( 13.1%)
   TSTypeReference                       93,873 ( 1.02%) in   1946 files (  6.0%)
   ThisExpression                        93,702 ( 1.02%) in   4174 files ( 12.9%)
   FunctionExpression                    91,288 ( 0.99%) in  10511 files ( 32.5%)
   ParenthesizedExpression               75,733 ( 0.82%) in   7184 files ( 22.2%)
   ObjectExpression                      68,546 ( 0.74%) in   7750 files ( 24.0%)
   FunctionDeclaration                   62,733 ( 0.68%) in   8275 files ( 25.6%)
   ConditionalExpression                 47,791 ( 0.52%) in   1499 files (  4.6%)
   ArrayExpression                       42,721 ( 0.46%) in   3841 files ( 11.9%)
   ImportSpecifier                       35,784 ( 0.39%) in   2925 files (  9.0%)
   Program                               32,351 ( 0.35%) in  32351 files (100.0%)
