AST Analysis Report for ember.js
Generated on: 2025-07-14T02:07:19.851Z
Repository: sample-repos/ember.js
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/ember.js

📁 Found 1077 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1077
   Successfully parsed: 1077
   Failed to parse: 0
   Total file size: 4.5 MB

🌳 NODE STATISTICS:
   Total nodes: 514,961
   Average nodes per file: 478
   Average file size: 4.3 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   TSInterfaceHeritage                44 files (  4.1%) -            88 total ( 0.02%)
   TSTypePredicate                    44 files (  4.1%) -            60 total ( 0.01%)
   ChainExpression                    42 files (  3.9%) -            91 total ( 0.02%)
   ForOfStatement                     42 files (  3.9%) -            89 total ( 0.02%)
   TSTypeOperator                     40 files (  3.7%) -           115 total ( 0.02%)
   TSParenthesizedType                39 files (  3.6%) -            72 total ( 0.01%)
   TSQualifiedName                    39 files (  3.6%) -           134 total ( 0.03%)
   CatchClause                        37 files (  3.4%) -            52 total ( 0.01%)
   TSIntersectionType                 37 files (  3.4%) -            60 total ( 0.01%)
   TaggedTemplateExpression           37 files (  3.4%) -           247 total ( 0.05%)
   ForInStatement                     34 files (  3.2%) -            53 total ( 0.01%)
   TSDeclareFunction                  28 files (  2.6%) -           104 total ( 0.02%)
   TSClassImplements                  28 files (  2.6%) -            47 total ( 0.01%)
   WhileStatement                     24 files (  2.2%) -            37 total ( 0.01%)
   TSThisType                         22 files (  2.0%) -           138 total ( 0.03%)
   ImportNamespaceSpecifier           21 files (  1.9%) -           301 total ( 0.06%)
   TSIndexSignature                   20 files (  1.9%) -            53 total ( 0.01%)
   TSModuleDeclaration                18 files (  1.7%) -            20 total ( 0.00%)
   TSModuleBlock                      18 files (  1.7%) -            20 total ( 0.00%)
   TSEmptyBodyFunctionExpression      18 files (  1.7%) -            57 total ( 0.01%)
   TSParameterProperty                18 files (  1.7%) -            47 total ( 0.01%)
   TSNamedTupleMember                 17 files (  1.6%) -            66 total ( 0.01%)
   BreakStatement                     15 files (  1.4%) -            35 total ( 0.01%)
   TSNeverKeyword                     15 files (  1.4%) -            25 total ( 0.00%)
   ContinueStatement                  14 files (  1.3%) -            32 total ( 0.01%)
   SwitchStatement                    11 files (  1.0%) -            12 total ( 0.00%)
   SwitchCase                         11 files (  1.0%) -            58 total ( 0.01%)
   TSConditionalType                  11 files (  1.0%) -            51 total ( 0.01%)
   ExportAllDeclaration               10 files (  0.9%) -            11 total ( 0.00%)
   TSSymbolKeyword                    10 files (  0.9%) -            21 total ( 0.00%)
   TSRestType                          9 files (  0.8%) -            29 total ( 0.01%)
   MetaProperty                        8 files (  0.7%) -            12 total ( 0.00%)
   TSInferType                         6 files (  0.6%) -            19 total ( 0.00%)
   TSConstructSignatureDeclaration      6 files (  0.6%) -             6 total ( 0.00%)
   TSCallSignatureDeclaration          6 files (  0.6%) -            27 total ( 0.01%)
   TSMappedType                        5 files (  0.5%) -            11 total ( 0.00%)
   TSConstructorType                   4 files (  0.4%) -             4 total ( 0.00%)
   TSAbstractPropertyDefinition        4 files (  0.4%) -             5 total ( 0.00%)
   ImportExpression                    3 files (  0.3%) -            13 total ( 0.00%)
   DoWhileStatement                    3 files (  0.3%) -             3 total ( 0.00%)
   TSAbstractMethodDefinition          3 files (  0.3%) -             6 total ( 0.00%)
   StaticBlock                         3 files (  0.3%) -             7 total ( 0.00%)
   Hashbang                            2 files (  0.2%) -             2 total ( 0.00%)
   YieldExpression                     1 files (  0.1%) -             4 total ( 0.00%)
   SequenceExpression                  1 files (  0.1%) -             1 total ( 0.00%)
   TSImportEqualsDeclaration           1 files (  0.1%) -             1 total ( 0.00%)
   TSInstantiationExpression           1 files (  0.1%) -             2 total ( 0.00%)
   PrivateIdentifier                   1 files (  0.1%) -             7 total ( 0.00%)
   TSTemplateLiteralType               1 files (  0.1%) -             1 total ( 0.00%)
   TSEnumDeclaration                   1 files (  0.1%) -             1 total ( 0.00%)
   TSEnumBody                          1 files (  0.1%) -             1 total ( 0.00%)
   TSEnumMember                        1 files (  0.1%) -             3 total ( 0.00%)

📝 ALL NODE TYPES (BY TOTAL COUNT):
   Identifier                           161,756 (31.41%) in   1036 files ( 96.2%)
   Literal                               57,568 (11.18%) in   1035 files ( 96.1%)
   CallExpression                        47,196 ( 9.16%) in    925 files ( 85.9%)
