AST Analysis Report for vitest
Generated on: 2025-07-14T02:08:28.508Z
Repository: sample-repos/vitest
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/vitest

📁 Found 1228 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1228
   Successfully parsed: 1228
   Failed to parse: 0
   Total file size: 3.1 MB

🌳 NODE STATISTICS:
   Total nodes: 427,805
   Average nodes per file: 348
   Average file size: 2.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                          1228 files (100.0%) -         1,228 total ( 0.29%)
       • scripts/explain-types.ts
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/snapshots/generate.mjs
     📄 Files WITHOUT VariableDeclarator (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/typescript/vitest.config.fails.ts
       • test/ui/vitest.config.ts

   VariableDeclaration:
     📄 Files WITH VariableDeclaration (showing 10):
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/snapshots/generate.mjs
     📄 Files WITHOUT VariableDeclaration (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/typescript/vitest.config.fails.ts
       • test/ui/vitest.config.ts

   TSTypeReference:
     📄 Files WITH TSTypeReference (showing 10):
       • scripts/update-contributors.ts
       • scripts/explain-types.ts
       • docs/vite.config.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/globalTest.ts
       • test/workspaces/cwdPlugin.d.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/core/vite.config.ts
       • test/cli/custom.ts
     📄 Files WITHOUT TSTypeReference (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts

   Unknown:
     📄 Files WITH Unknown (showing 10):
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/globalTest.ts
     📄 Files WITHOUT Unknown (showing 10):
       • shims.d.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/typescript/vitest.config.fails.ts
       • test/ui/vitest.config.ts
       • test/ui/playwright.config.ts
       • test/workspaces/vitest.config.watch.ts
       • test/workspaces/cwdPlugin.d.ts

   ImportSpecifier:
     📄 Files WITH ImportSpecifier (showing 10):
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
     📄 Files WITHOUT ImportSpecifier (showing 10):
       • shims.d.ts
       • scripts/build-utils.js
       • test/workspaces/cwdPlugin.js
       • test/dts-config/happy-dom-patch.ts
       • test/browser/injected.ts
       • test/browser/custom-snapshot-env.ts
       • test/browser/custom-diff-config.ts
       • packages/web-worker/pure.d.ts
       • packages/web-worker/index.d.ts
       • packages/vite-node/vite-node.mjs

   ObjectExpression:
     📄 Files WITH ObjectExpression (showing 10):
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
     📄 Files WITHOUT ObjectExpression (showing 10):
       • shims.d.ts
       • scripts/publish-ci.ts
       • test/workspaces/cwdPlugin.d.ts
       • test/test-utils/cli.ts
       • test/browser/injected.ts
       • test/browser/custom-snapshot-env.ts
       • packages/web-worker/pure.d.ts
       • packages/web-worker/index.d.ts
       • packages/vite-node/vite-node.mjs
       • packages/utils/source-map.ts

   ArrowFunctionExpression:
     📄 Files WITH ArrowFunctionExpression (showing 10):
       • scripts/update-contributors.ts
       • scripts/build-utils.js
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/vitest.config.watch.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/global-setup/vitest.config.ts
     📄 Files WITHOUT ArrowFunctionExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/typescript/vitest.config.fails.ts

   TemplateElement:
     📄 Files WITH TemplateElement (showing 10):
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/pwa-assets.config.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/cwdPlugin.js
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
     📄 Files WITHOUT TemplateElement (showing 10):
       • shims.d.ts
       • scripts/explain-types.ts
       • docs/vite.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/typescript/vitest.config.fails.ts
       • test/ui/vitest.config.ts
       • test/ui/playwright.config.ts

   BinaryExpression:
     📄 Files WITH BinaryExpression (showing 10):
       • scripts/update-contributors.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/public-mocker/vite.config.ts
       • test/core/vite.config.ts
       • test/coverage-test/utils.ts
       • test/coverage-test/setup.ts
     📄 Files WITHOUT BinaryExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/typescript/vitest.config.fails.ts

   ReturnStatement:
     📄 Files WITH ReturnStatement (showing 10):
       • scripts/update-contributors.ts
       • scripts/build-utils.js
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/cwdPlugin.js
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/public-mocker/vite.config.ts
       • test/core/vite.config.ts
     📄 Files WITHOUT ReturnStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • docs/vite.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/typescript/vitest.config.fails.ts

   ImportDeclaration:
     📄 Files WITH ImportDeclaration (showing 10):
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
     📄 Files WITHOUT ImportDeclaration (showing 10):
       • shims.d.ts
       • test/workspaces/cwdPlugin.js
       • test/dts-config/happy-dom-patch.ts
       • test/browser/injected.ts
       • test/browser/custom-snapshot-env.ts
       • test/browser/custom-diff-config.ts
       • packages/web-worker/pure.d.ts
       • packages/web-worker/index.d.ts
       • packages/vite-node/vite-node.mjs
       • packages/utils/source-map.ts

   IfStatement:
     📄 Files WITH IfStatement (showing 10):
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • test/vite-node/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/globalTest.ts
     📄 Files WITHOUT IfStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/watch/vitest.config.ts
       • test/typescript/vitest.config.fails.ts
       • test/ui/vitest.config.ts
       • test/ui/playwright.config.ts
       • test/workspaces/vitest.config.watch.ts
       • test/workspaces/cwdPlugin.js

   ThisExpression:
     📄 Files WITH ThisExpression (showing 10):
       • scripts/build-utils.js
       • test/workspaces/vitest.config.ts
       • test/test-utils/cli.ts
       • packages/vitest/suppress-warnings.cjs
       • packages/browser/rollup.config.js
       • test/reporters/tests/test-run.test.ts
       • test/reporters/src/custom-reporter.ts
       • test/reporters/src/custom-reporter.js
       • test/reporters/reportPkg/index.js
       • test/core/src/mockedC.ts
     📄 Files WITHOUT ThisExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   TSStringKeyword:
     📄 Files WITH TSStringKeyword (showing 10):
       • scripts/update-contributors.ts
       • scripts/explain-types.ts
       • test/workspaces/globalTest.ts
       • test/workspaces/cwdPlugin.d.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/coverage-test/utils.ts
       • test/browser/setup.unit.ts
       • test/browser/injected.ts
       • packages/vitest/importMeta.d.ts
     📄 Files WITHOUT TSStringKeyword (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts

   AssignmentExpression:
     📄 Files WITH AssignmentExpression (showing 10):
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/vitest.config.watch.ts
       • test/workspaces/globalTest.ts
       • test/workspaces/cwdPlugin.js
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
     📄 Files WITHOUT AssignmentExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/typescript/vitest.config.fails.ts
       • test/ui/vitest.config.ts

   ArrayExpression:
     📄 Files WITH ArrayExpression (showing 10):
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/typescript/vitest.config.fails.ts
     📄 Files WITHOUT ArrayExpression (showing 10):
       • shims.d.ts
       • scripts/publish-ci.ts
       • test/vite-node/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/ui/vitest.config.ts
       • test/workspaces/globalTest.ts
       • test/workspaces/cwdPlugin.js
       • test/workspaces/cwdPlugin.d.ts
       • test/snapshots/generate.mjs
       • test/public-mocker/vitest.config.ts

   AwaitExpression:
     📄 Files WITH AwaitExpression (showing 10):
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/coverage-test/utils.ts
       • packages/browser/rollup.config.js
       • test/vite-node/test/server.test.ts
       • test/vite-node/test/self-export.test.ts
     📄 Files WITHOUT AwaitExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/typescript/vitest.config.fails.ts

   TSPropertySignature:
     📄 Files WITH TSPropertySignature (showing 10):
       • scripts/update-contributors.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/browser/setup.unit.ts
       • packages/vitest/importMeta.d.ts
       • packages/ui/types.ts
       • packages/browser/types.ts
       • packages/browser/matchers.d.ts
       • packages/browser/jest-dom.d.ts
     📄 Files WITHOUT TSPropertySignature (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   TSTypeParameterInstantiation:
     📄 Files WITH TSTypeParameterInstantiation (showing 10):
       • scripts/explain-types.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/coverage-test/utils.ts
       • packages/browser/utils.d.ts
       • packages/browser/matchers.d.ts
       • packages/browser/jest-dom.d.ts
       • packages/browser/context.d.ts
       • test/vite-node/test/server.test.ts
       • test/typescript/test-d/test.test-d.ts
     📄 Files WITHOUT TSTypeParameterInstantiation (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   TemplateLiteral:
     📄 Files WITH TemplateLiteral (showing 10):
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/pwa-assets.config.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/cwdPlugin.js
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
     📄 Files WITHOUT TemplateLiteral (showing 10):
       • shims.d.ts
       • scripts/explain-types.ts
       • docs/vite.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/typescript/vitest.config.fails.ts
       • test/ui/vitest.config.ts
       • test/ui/playwright.config.ts

   LogicalExpression:
     📄 Files WITH LogicalExpression (showing 10):
       • scripts/update-contributors.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • test/workspaces-browser/vitest.config.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/core/vite.config.ts
       • test/coverage-test/setup.ts
       • test/browser/setup.unit.ts
     📄 Files WITHOUT LogicalExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/typescript/vitest.config.fails.ts
       • test/ui/vitest.config.ts

   TSLiteralType:
     📄 Files WITH TSLiteralType (showing 10):
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • packages/vitest/importMeta.d.ts
       • packages/vitest/globals.d.ts
       • packages/ui/types.ts
       • packages/browser/utils.d.ts
       • packages/browser/types.ts
       • packages/browser/context.d.ts
       • packages/browser/aria-role.d.ts
       • test/workspaces/space-pools/single-worker.test.ts
     📄 Files WITHOUT TSLiteralType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   FunctionExpression:
     📄 Files WITH FunctionExpression (showing 10):
       • scripts/build-utils.js
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/cwdPlugin.js
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/public-mocker/vite.config.ts
       • test/core/vite.config.ts
       • test/cli/custom.ts
     📄 Files WITHOUT FunctionExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • docs/vite.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts

   UnaryExpression:
     📄 Files WITH UnaryExpression (showing 10):
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • test/workspaces-browser/globalTest.ts
       • test/ui/playwright.config.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
     📄 Files WITHOUT UnaryExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/typescript/vitest.config.fails.ts
       • test/ui/vitest.config.ts
       • test/workspaces/vitest.config.watch.ts

   ExportNamedDeclaration:
     📄 Files WITH ExportNamedDeclaration (showing 10):
       • scripts/build-utils.js
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/globalTest.ts
       • test/workspaces/cwdPlugin.js
       • test/workspaces/cwdPlugin.d.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/dts-config/happy-dom-patch.ts
       • test/coverage-test/utils.ts
       • test/browser/setup.unit.ts
     📄 Files WITHOUT ExportNamedDeclaration (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   NewExpression:
     📄 Files WITH NewExpression (showing 10):
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/reporters/custom-reporter.vitest.config.ts
       • test/coverage-test/utils.ts
       • test/browser/custom-snapshot-env.ts
     📄 Files WITHOUT NewExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/globalTest.ts

   FunctionDeclaration:
     📄 Files WITH FunctionDeclaration (showing 10):
       • scripts/update-contributors.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/globalTest.ts
       • test/workspaces/cwdPlugin.js
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/core/vite.config.ts
     📄 Files WITHOUT FunctionDeclaration (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/typescript/vitest.config.fails.ts

   Program:
     📄 Files WITH Program (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
     📄 Files WITHOUT Program: (all files contain this node type)

   TSUnionType:
     📄 Files WITH TSUnionType (showing 10):
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/browser/setup.unit.ts
       • packages/ui/types.ts
       • packages/browser/utils.d.ts
       • packages/browser/types.ts
       • packages/browser/matchers.d.ts
       • packages/browser/jest-dom.d.ts
       • packages/browser/context.d.ts
       • packages/browser/aria-role.d.ts
     📄 Files WITHOUT TSUnionType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSArrayType:
     📄 Files WITH TSArrayType (showing 10):
       • scripts/update-contributors.ts
       • scripts/explain-types.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/coverage-test/setup.ts
       • test/browser/setup.unit.ts
       • test/browser/settings.ts
       • test/browser/injected.ts
       • packages/ui/types.ts
       • packages/browser/utils.d.ts
     📄 Files WITHOUT TSArrayType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts

   ObjectPattern:
     📄 Files WITH ObjectPattern (showing 10):
       • scripts/build-utils.js
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/cli/custom.ts
       • test/browser/setup.unit.ts
       • packages/vitest/suppress-warnings.cjs
       • packages/vitest/rollup.config.js
       • test/vite-node/test/server.test.ts
       • test/vite-node/test/self-export.test.ts
       • test/vite-node/test/hmr.test.ts
     📄 Files WITHOUT ObjectPattern (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   MethodDefinition:
     📄 Files WITH MethodDefinition (showing 10):
       • test/test-utils/cli.ts
       • test/reporters/tests/verbose.test.ts
       • test/reporters/tests/test-run.test.ts
       • test/reporters/tests/silent.test.ts
       • test/reporters/tests/default.test.ts
       • test/reporters/tests/console.test.ts
       • test/reporters/src/custom-reporter.ts
       • test/reporters/src/custom-reporter.js
       • test/reporters/reportPkg/index.js
       • test/core/src/mockedE.ts
     📄 Files WITHOUT MethodDefinition (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSAnyKeyword:
     📄 Files WITH TSAnyKeyword (showing 10):
       • test/workspaces/vitest.config.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/dts-config/happy-dom-patch.ts
       • test/coverage-test/utils.ts
       • test/browser/setup.unit.ts
       • packages/ui/types.ts
       • packages/browser/types.ts
       • packages/browser/matchers.d.ts
     📄 Files WITHOUT TSAnyKeyword (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSVoidKeyword:
     📄 Files WITH TSVoidKeyword (showing 10):
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/coverage-test/utils.ts
       • test/browser/setup.unit.ts
       • packages/browser/utils.d.ts
       • packages/browser/matchers.d.ts
       • packages/browser/context.d.ts
       • test/watch/test/workspaces.test.ts
       • test/watch/test/file-watching.test.ts
       • test/ui/test/html-report.spec.ts
     📄 Files WITHOUT TSVoidKeyword (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ChainExpression:
     📄 Files WITH ChainExpression (showing 10):
       • test/test-utils/index.ts
       • test/browser/setup.unit.ts
       • packages/vitest/rollup.config.js
       • packages/browser/context.js
       • test/vite-node/test/server.test.ts
       • test/watch/test/global-setup-rerun.test.ts
       • test/ui/test/ui.spec.ts
       • test/workspaces/space-pools/threads.test.ts
       • test/workspaces/space-pools/single-worker.test.ts
       • test/workspaces/space-pools/no-isolate.test.ts
     📄 Files WITHOUT ChainExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSAsExpression:
     📄 Files WITH TSAsExpression (showing 10):
       • scripts/update-contributors.ts
       • docs/vite.config.ts
       • test/workspaces/vitest.config.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/dts-config/happy-dom-patch.ts
       • test/coverage-test/utils.ts
       • test/browser/injected.ts
       • test/vite-node/test/server.test.ts
       • test/vite-node/test/cli.test.ts
     📄 Files WITHOUT TSAsExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts

   ConditionalExpression:
     📄 Files WITH ConditionalExpression (showing 10):
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/ui/playwright.config.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/snapshots/vitest.config.ts
       • test/core/vite.config.ts
       • test/coverage-test/utils.ts
     📄 Files WITHOUT ConditionalExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/typescript/vitest.config.fails.ts

   TSNumberKeyword:
     📄 Files WITH TSNumberKeyword (showing 10):
       • test/workspaces/vitest.config.ts
       • test/browser/setup.unit.ts
       • packages/browser/utils.d.ts
       • packages/browser/jest-dom.d.ts
       • packages/browser/context.d.ts
       • test/vite-node/test/server.test.ts
       • test/vite-node/src/self-export.d.ts
       • test/workspaces-browser/src/math.ts
       • test/typescript/test-d/expect-extend.test-d.ts
