AST Analysis Report for vitest
Generated on: 2025-07-14T02:08:28.508Z
Repository: sample-repos/vitest
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/vitest

📁 Found 1228 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1228
   Successfully parsed: 1228
   Failed to parse: 0
   Total file size: 3.1 MB

🌳 NODE STATISTICS:
   Total nodes: 427,805
   Average nodes per file: 348
   Average file size: 2.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                          1228 files (100.0%) -         1,228 total ( 0.29%)
   ImportExpression                   53 files (  4.3%) -           110 total ( 0.03%)
   TSIntersectionType                 49 files (  4.0%) -           112 total ( 0.03%)
   TSTupleType                        45 files (  3.7%) -           114 total ( 0.03%)
   TSParameterProperty                45 files (  3.7%) -            96 total ( 0.02%)
   ExportAllDeclaration               43 files (  3.5%) -            51 total ( 0.01%)
   TSTypeOperator                     41 files (  3.3%) -            97 total ( 0.02%)
   TSInterfaceHeritage                39 files (  3.2%) -            90 total ( 0.02%)
   ForStatement                       34 files (  2.8%) -            65 total ( 0.02%)
   ContinueStatement                  34 files (  2.8%) -            61 total ( 0.01%)
   TSClassImplements                  33 files (  2.7%) -            33 total ( 0.01%)
   TSModuleDeclaration                29 files (  2.4%) -            37 total ( 0.01%)
   TSModuleBlock                      29 files (  2.4%) -            37 total ( 0.01%)
   TSTypePredicate                    27 files (  2.2%) -            39 total ( 0.01%)
   WhileStatement                     27 files (  2.2%) -            49 total ( 0.01%)
   Super                              27 files (  2.2%) -            95 total ( 0.02%)
   TSNeverKeyword                     26 files (  2.1%) -            54 total ( 0.01%)
   ForInStatement                     25 files (  2.0%) -            33 total ( 0.01%)
   TSSatisfiesExpression              25 files (  2.0%) -            40 total ( 0.01%)
   BreakStatement                     24 files (  2.0%) -            52 total ( 0.01%)
   SwitchStatement                    23 files (  1.9%) -            33 total ( 0.01%)
   SwitchCase                         23 files (  1.9%) -           165 total ( 0.04%)
   TSObjectKeyword                    23 files (  1.9%) -            68 total ( 0.02%)
   TSConditionalType                  20 files (  1.6%) -            85 total ( 0.02%)
   TSSymbolKeyword                    18 files (  1.5%) -            48 total ( 0.01%)
   TSNamedTupleMember                 17 files (  1.4%) -            62 total ( 0.01%)
   TSImportType                       16 files (  1.3%) -           417 total ( 0.10%)
   TaggedTemplateExpression           12 files (  1.0%) -            56 total ( 0.01%)
   TSMappedType                       12 files (  1.0%) -            28 total ( 0.01%)
   TSIndexSignature                   12 files (  1.0%) -            13 total ( 0.00%)
   ClassExpression                    12 files (  1.0%) -            16 total ( 0.00%)
   TSTypeAssertion                    11 files (  0.9%) -            11 total ( 0.00%)
   TSCallSignatureDeclaration         11 files (  0.9%) -            45 total ( 0.01%)
   TSDeclareFunction                  10 files (  0.8%) -            26 total ( 0.01%)
   EmptyStatement                     10 files (  0.8%) -            12 total ( 0.00%)
   TSInferType                         9 files (  0.7%) -            16 total ( 0.00%)
   TSMethodSignature                   8 files (  0.7%) -            91 total ( 0.02%)
   TSConstructSignatureDeclaration      8 files (  0.7%) -            14 total ( 0.00%)
   TSEmptyBodyFunctionExpression       8 files (  0.7%) -            27 total ( 0.01%)
   YieldExpression                     7 files (  0.6%) -            30 total ( 0.01%)
   JSXElement                          5 files (  0.4%) -            11 total ( 0.00%)
   JSXOpeningElement                   5 files (  0.4%) -            11 total ( 0.00%)
   JSXIdentifier                       5 files (  0.4%) -            30 total ( 0.01%)
   JSXText                             5 files (  0.4%) -            16 total ( 0.00%)
   JSXClosingElement                   5 files (  0.4%) -            11 total ( 0.00%)
   Hashbang                            4 files (  0.3%) -             4 total ( 0.00%)
   TSThisType                          4 files (  0.3%) -            22 total ( 0.01%)
   TSBigIntKeyword                     4 files (  0.3%) -            22 total ( 0.01%)
   ImportAttribute                     4 files (  0.3%) -             4 total ( 0.00%)
   TSAbstractMethodDefinition          3 files (  0.2%) -             6 total ( 0.00%)
   TSConstructorType                   3 files (  0.2%) -             5 total ( 0.00%)
   JSXAttribute                        3 files (  0.2%) -             8 total ( 0.00%)
   SequenceExpression                  3 files (  0.2%) -             5 total ( 0.00%)
   PrivateIdentifier                   3 files (  0.2%) -            27 total ( 0.01%)
   TSTemplateLiteralType               3 files (  0.2%) -             3 total ( 0.00%)
   Decorator                           2 files (  0.2%) -             4 total ( 0.00%)
   TSOptionalType                      2 files (  0.2%) -             2 total ( 0.00%)
   TSRestType                          2 files (  0.2%) -             6 total ( 0.00%)
   JSXExpressionContainer              2 files (  0.2%) -            11 total ( 0.00%)
   DoWhileStatement                    1 files (  0.1%) -             1 total ( 0.00%)
   TSExportAssignment                  1 files (  0.1%) -             1 total ( 0.00%)
   TSAbstractPropertyDefinition        1 files (  0.1%) -             1 total ( 0.00%)

📝 ALL NODE TYPES (BY TOTAL COUNT):
   Identifier                           149,630 (34.98%) in   1166 files ( 95.0%)
   MemberExpression                      35,313 ( 8.25%) in    934 files ( 76.1%)
   Literal                               31,677 ( 7.40%) in   1182 files ( 96.3%)
   CallExpression                        31,177 ( 7.29%) in    984 files ( 80.1%)
   ExpressionStatement                   15,955 ( 3.73%) in    870 files ( 70.8%)
   Property                              12,324 ( 2.88%) in    733 files ( 59.7%)
   BlockStatement                        11,898 ( 2.78%) in    921 files ( 75.0%)
   TSTypeAnnotation                      11,570 ( 2.70%) in    612 files ( 49.8%)
   VariableDeclarator                     8,433 ( 1.97%) in    798 files ( 65.0%)
   VariableDeclaration                    8,428 ( 1.97%) in    798 files ( 65.0%)
   TSTypeReference                        7,788 ( 1.82%) in    516 files ( 42.0%)
   Unknown                                5,537 ( 1.29%) in    472 files ( 38.4%)
   ImportSpecifier                        5,520 ( 1.29%) in    949 files ( 77.3%)
   ObjectExpression                       5,300 ( 1.24%) in    709 files ( 57.7%)
   ArrowFunctionExpression                5,290 ( 1.24%) in    773 files ( 62.9%)
   TemplateElement                        4,623 ( 1.08%) in    435 files ( 35.4%)
   BinaryExpression                       4,023 ( 0.94%) in    447 files ( 36.4%)
   ReturnStatement                        3,935 ( 0.92%) in    526 files ( 42.8%)
   ImportDeclaration                      3,722 ( 0.87%) in    983 files ( 80.0%)
   IfStatement                            3,629 ( 0.85%) in    407 files ( 33.1%)
   ThisExpression                         3,613 ( 0.84%) in    169 files ( 13.8%)
   TSStringKeyword                        3,283 ( 0.77%) in    422 files ( 34.4%)
   AssignmentExpression                   2,997 ( 0.70%) in    401 files ( 32.7%)
   ArrayExpression                        2,897 ( 0.68%) in    509 files ( 41.4%)
   AwaitExpression                        2,734 ( 0.64%) in    442 files ( 36.0%)
   TSPropertySignature                    2,613 ( 0.61%) in    246 files ( 20.0%)
   TSTypeParameterInstantiation           2,419 ( 0.57%) in    369 files ( 30.0%)
   TemplateLiteral                        2,389 ( 0.56%) in    434 files ( 35.3%)
   LogicalExpression                      2,306 ( 0.54%) in    325 files ( 26.5%)
   TSLiteralType                          1,838 ( 0.43%) in    198 files ( 16.1%)
   FunctionExpression                     1,837 ( 0.43%) in    267 files ( 21.7%)
   UnaryExpression                        1,776 ( 0.42%) in    328 files ( 26.7%)
   ExportNamedDeclaration                 1,741 ( 0.41%) in    511 files ( 41.6%)
   NewExpression                          1,674 ( 0.39%) in    382 files ( 31.1%)
   FunctionDeclaration                    1,477 ( 0.35%) in    447 files ( 36.4%)
   Program                                1,228 ( 0.29%) in   1228 files (100.0%)
   TSUnionType                            1,228 ( 0.29%) in    287 files ( 23.4%)
   TSArrayType                            1,158 ( 0.27%) in    267 files ( 21.7%)
   ObjectPattern                          1,152 ( 0.27%) in    342 files ( 27.9%)
   MethodDefinition                       1,124 ( 0.26%) in    126 files ( 10.3%)
   TSAnyKeyword                           1,053 ( 0.25%) in    248 files ( 20.2%)
   TSVoidKeyword                          1,041 ( 0.24%) in    217 files ( 17.7%)
   ChainExpression                          964 ( 0.23%) in    213 files ( 17.3%)
   TSAsExpression                           854 ( 0.20%) in    257 files ( 20.9%)
   ConditionalExpression                    836 ( 0.20%) in    241 files ( 19.6%)
   TSNumberKeyword                          800 ( 0.19%) in    189 files ( 15.4%)
   ParenthesizedExpression                  799 ( 0.19%) in    270 files ( 22.0%)
   TSFunctionType                           773 ( 0.18%) in    162 files ( 13.2%)
   ExportSpecifier                          698 ( 0.16%) in     63 files (  5.1%)
   TSIndexedAccessType                      693 ( 0.16%) in     89 files (  7.2%)
   TSBooleanKeyword                         646 ( 0.15%) in    164 files ( 13.4%)
   SpreadElement                            614 ( 0.14%) in    201 files ( 16.4%)
   TSTypeQuery                              543 ( 0.13%) in     67 files (  5.5%)
   PropertyDefinition                       543 ( 0.13%) in     98 files (  8.0%)
   ThrowStatement                           510 ( 0.12%) in    180 files ( 14.7%)
   TSInterfaceDeclaration                   462 ( 0.11%) in    169 files ( 13.8%)
   TSInterfaceBody                          462 ( 0.11%) in    169 files ( 13.8%)
   TSUnknownKeyword                         423 ( 0.10%) in    138 files ( 11.2%)
   TSImportType                             417 ( 0.10%) in     16 files (  1.3%)
   TSTypeLiteral                            379 ( 0.09%) in    161 files ( 13.1%)
   ImportDefaultSpecifier                   366 ( 0.09%) in    206 files ( 16.8%)
   TSTypeParameter                          353 ( 0.08%) in     87 files (  7.1%)
   TSUndefinedKeyword                       349 ( 0.08%) in    161 files ( 13.1%)
   AssignmentPattern                        347 ( 0.08%) in    134 files ( 10.9%)
   TSTypeParameterDeclaration               312 ( 0.07%) in     86 files (  7.0%)
   TSTypeAliasDeclaration                   289 ( 0.07%) in    101 files (  8.2%)
   TSNonNullExpression                      274 ( 0.06%) in    110 files (  9.0%)
   ForOfStatement                           251 ( 0.06%) in    116 files (  9.4%)
   UpdateExpression                         212 ( 0.05%) in     80 files (  6.5%)
   ClassBody                                201 ( 0.05%) in    134 files ( 10.9%)
   MetaProperty                             197 ( 0.05%) in    116 files (  9.4%)
   RestElement                              193 ( 0.05%) in     71 files (  5.8%)
   TryStatement                             185 ( 0.04%) in    104 files (  8.5%)
   ClassDeclaration                         185 ( 0.04%) in    128 files ( 10.4%)
   TSNullKeyword                            182 ( 0.04%) in     93 files (  7.6%)
   ExportDefaultDeclaration                 166 ( 0.04%) in    166 files ( 13.5%)
   SwitchCase                               165 ( 0.04%) in     23 files (  1.9%)
   CatchClause                              160 ( 0.04%) in     93 files (  7.6%)
   TSQualifiedName                          150 ( 0.04%) in     61 files (  5.0%)
   ArrayPattern                             140 ( 0.03%) in     97 files (  7.9%)
   TSParenthesizedType                      134 ( 0.03%) in     67 files (  5.5%)
   TSTupleType                              114 ( 0.03%) in     45 files (  3.7%)
   TSIntersectionType                       112 ( 0.03%) in     49 files (  4.0%)
   ImportExpression                         110 ( 0.03%) in     53 files (  4.3%)
   TSTypeOperator                            97 ( 0.02%) in     41 files (  3.3%)
   TSParameterProperty                       96 ( 0.02%) in     45 files (  3.7%)
   Super                                     95 ( 0.02%) in     27 files (  2.2%)
   TSMethodSignature                         91 ( 0.02%) in      8 files (  0.7%)
   TSInterfaceHeritage                       90 ( 0.02%) in     39 files (  3.2%)
   TSConditionalType                         85 ( 0.02%) in     20 files (  1.6%)
   ImportNamespaceSpecifier                  71 ( 0.02%) in     55 files (  4.5%)
   TSObjectKeyword                           68 ( 0.02%) in     23 files (  1.9%)
   ForStatement                              65 ( 0.02%) in     34 files (  2.8%)
   TSNamedTupleMember                        62 ( 0.01%) in     17 files (  1.4%)
   ContinueStatement                         61 ( 0.01%) in     34 files (  2.8%)
   TaggedTemplateExpression                  56 ( 0.01%) in     12 files (  1.0%)
   TSNeverKeyword                            54 ( 0.01%) in     26 files (  2.1%)
   BreakStatement                            52 ( 0.01%) in     24 files (  2.0%)
   ExportAllDeclaration                      51 ( 0.01%) in     43 files (  3.5%)
   WhileStatement                            49 ( 0.01%) in     27 files (  2.2%)
   TSSymbolKeyword                           48 ( 0.01%) in     18 files (  1.5%)
   TSCallSignatureDeclaration                45 ( 0.01%) in     11 files (  0.9%)
   TSSatisfiesExpression                     40 ( 0.01%) in     25 files (  2.0%)
   TSTypePredicate                           39 ( 0.01%) in     27 files (  2.2%)
   TSModuleDeclaration                       37 ( 0.01%) in     29 files (  2.4%)
   TSModuleBlock                             37 ( 0.01%) in     29 files (  2.4%)
   ForInStatement                            33 ( 0.01%) in     25 files (  2.0%)
   SwitchStatement                           33 ( 0.01%) in     23 files (  1.9%)
   TSClassImplements                         33 ( 0.01%) in     33 files (  2.7%)
   JSXIdentifier                             30 ( 0.01%) in      5 files (  0.4%)
   YieldExpression                           30 ( 0.01%) in      7 files (  0.6%)
   TSMappedType                              28 ( 0.01%) in     12 files (  1.0%)
   TSEmptyBodyFunctionExpression             27 ( 0.01%) in      8 files (  0.7%)
   PrivateIdentifier                         27 ( 0.01%) in      3 files (  0.2%)
   TSDeclareFunction                         26 ( 0.01%) in     10 files (  0.8%)
   TSThisType                                22 ( 0.01%) in      4 files (  0.3%)
   TSBigIntKeyword                           22 ( 0.01%) in      4 files (  0.3%)
   TSInferType                               16 ( 0.00%) in      9 files (  0.7%)
   ClassExpression                           16 ( 0.00%) in     12 files (  1.0%)
   JSXText                                   16 ( 0.00%) in      5 files (  0.4%)
   TSConstructSignatureDeclaration            14 ( 0.00%) in      8 files (  0.7%)
   TSIndexSignature                          13 ( 0.00%) in     12 files (  1.0%)
   EmptyStatement                            12 ( 0.00%) in     10 files (  0.8%)
   TSTypeAssertion                           11 ( 0.00%) in     11 files (  0.9%)
   JSXElement                                11 ( 0.00%) in      5 files (  0.4%)
   JSXOpeningElement                         11 ( 0.00%) in      5 files (  0.4%)
   JSXClosingElement                         11 ( 0.00%) in      5 files (  0.4%)
   JSXExpressionContainer                    11 ( 0.00%) in      2 files (  0.2%)
   JSXAttribute                               8 ( 0.00%) in      3 files (  0.2%)
   TSAbstractMethodDefinition                 6 ( 0.00%) in      3 files (  0.2%)
   TSRestType                                 6 ( 0.00%) in      2 files (  0.2%)
   TSConstructorType                          5 ( 0.00%) in      3 files (  0.2%)
   SequenceExpression                         5 ( 0.00%) in      3 files (  0.2%)
   Hashbang                                   4 ( 0.00%) in      4 files (  0.3%)
   Decorator                                  4 ( 0.00%) in      2 files (  0.2%)
   ImportAttribute                            4 ( 0.00%) in      4 files (  0.3%)
   TSTemplateLiteralType                      3 ( 0.00%) in      3 files (  0.2%)
   TSOptionalType                             2 ( 0.00%) in      2 files (  0.2%)
   DoWhileStatement                           1 ( 0.00%) in      1 files (  0.1%)
   TSExportAssignment                         1 ( 0.00%) in      1 files (  0.1%)
   TSAbstractPropertyDefinition               1 ( 0.00%) in      1 files (  0.1%)

📁 FILE EXAMPLES BY NODE TYPE:

   Identifier:
     📄 Files WITH Identifier (showing 10):
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
     📄 Files WITHOUT Identifier (showing 10):
       • shims.d.ts
       • packages/web-worker/pure.d.ts
       • packages/web-worker/index.d.ts
       • packages/vite-node/vite-node.mjs
       • packages/utils/source-map.ts
       • packages/utils/helpers.d.ts
       • packages/utils/error.d.ts
       • packages/utils/diff.d.ts
       • packages/vitest/workers.d.ts
       • packages/vitest/vitest.mjs

   MemberExpression:
     📄 Files WITH MemberExpression (showing 10):
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
     📄 Files WITHOUT MemberExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • docs/vite.config.ts
       • test/typescript/vitest.config.fails.ts
       • test/ui/vitest.config.ts
       • test/workspaces/cwdPlugin.d.ts
       • test/global-setup/vitest.config.ts
       • test/reporters/without-custom-reporter.vitest.config.ts
       • test/reporters/vitest.config.ts
       • test/reporters/deps-reporter.vitest.config.ts

   Literal:
     📄 Files WITH Literal (showing 10):
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
     📄 Files WITHOUT Literal (showing 10):
       • shims.d.ts
       • test/workspaces/cwdPlugin.js
       • test/dts-config/happy-dom-patch.ts
       • packages/web-worker/index.d.ts
       • packages/vitest/import-meta.d.ts
       • packages/ui/shim.d.ts
       • packages/browser/dummy.js
       • test/vite-node/src/self-export.d.ts
       • test/vite-node/src/foo.js
       • test/vite-node/src/cli-parse-args.js

   CallExpression:
     📄 Files WITH CallExpression (showing 10):
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
     📄 Files WITHOUT CallExpression (showing 10):
       • shims.d.ts
       • test/workspaces/cwdPlugin.d.ts
       • test/dts-config/happy-dom-patch.ts
       • test/browser/settings.ts
       • test/browser/custom-snapshot-env.ts
       • test/browser/custom-diff-config.ts
       • packages/web-worker/pure.d.ts
       • packages/web-worker/index.d.ts
       • packages/vite-node/vite-node.mjs
       • packages/utils/source-map.ts

   ExpressionStatement:
     📄 Files WITH ExpressionStatement (showing 10):
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/vitest.config.watch.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/globalTest.ts
     📄 Files WITHOUT ExpressionStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/typescript/vitest.config.fails.ts
       • test/ui/vitest.config.ts
       • test/ui/playwright.config.ts
       • test/workspaces/cwdPlugin.d.ts

   Property:
     📄 Files WITH Property (showing 10):
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
     📄 Files WITHOUT Property (showing 10):
       • shims.d.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • test/workspaces/cwdPlugin.d.ts
       • test/test-utils/cli.ts
