AST Analysis Report for rollup
Generated on: 2025-07-14T01:42:30.122Z
Repository: sample-repos/rollup
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/rollup

📁 Found 12147 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 12147
   Successfully parsed: 12147
   Failed to parse: 0
   Total file size: 9.2 MB

🌳 NODE STATISTICS:
   Total nodes: 1,241,523
   Average nodes per file: 102
   Average file size: 791.0 B

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                        12147 files (100.0%) -   12,147 total (0.98%)
   Literal                        11765 files ( 96.9%) -  103,007 total (8.30%)
   Identifier                     11627 files ( 95.7%) -  419,254 total (33.77%)
   ExpressionStatement            9837 files ( 81.0%) -   73,764 total (5.94%)
   MemberExpression               9589 files ( 78.9%) -  131,719 total (10.61%)
   CallExpression                 9499 files ( 78.2%) -   72,356 total (5.83%)
   BlockStatement                 5843 files ( 48.1%) -   37,730 total (3.04%)
   VariableDeclaration            5774 files ( 47.5%) -   26,736 total (2.15%)
   VariableDeclarator             5774 files ( 47.5%) -   29,024 total (2.34%)
   TSTypeAliasDeclaration           41 files (  0.3%) -      347 total (0.03%)
   TSAnyKeyword                     41 files (  0.3%) -      138 total (0.01%)
   TSUnknownKeyword                 40 files (  0.3%) -       92 total (0.01%)
   TSNamedTupleMember               35 files (  0.3%) -      101 total (0.01%)
   ContinueStatement                35 files (  0.3%) -      108 total (0.01%)
   TSParenthesizedType              33 files (  0.3%) -       72 total (0.01%)
   DoWhileStatement                 31 files (  0.3%) -       86 total (0.01%)
   Hashbang                         30 files (  0.2%) -       30 total (0.00%)
   TSTypeParameterDeclaration       24 files (  0.2%) -       74 total (0.01%)
   TSTypeParameter                  24 files (  0.2%) -       85 total (0.01%)
   TSTypeQuery                      24 files (  0.2%) -       40 total (0.00%)
   TSClassImplements                21 files (  0.2%) -       25 total (0.00%)
   LabeledStatement                 21 files (  0.2%) -       68 total (0.01%)
   TSIntersectionType               19 files (  0.2%) -       55 total (0.00%)
   TSParameterProperty              19 files (  0.2%) -       53 total (0.00%)
   TSIndexedAccessType              19 files (  0.2%) -       86 total (0.01%)
   TSNeverKeyword                   17 files (  0.1%) -       26 total (0.00%)
   ImportAttribute                  17 files (  0.1%) -       88 total (0.01%)
   TSDeclareFunction                15 files (  0.1%) -       31 total (0.00%)
   TSThisType                       15 files (  0.1%) -       24 total (0.00%)
   StaticBlock                      15 files (  0.1%) -       35 total (0.00%)
   TSModuleDeclaration              13 files (  0.1%) -       17 total (0.00%)
   TSModuleBlock                    13 files (  0.1%) -       17 total (0.00%)
   Decorator                        13 files (  0.1%) -       42 total (0.00%)
   TSMethodSignature                10 files (  0.1%) -       74 total (0.01%)
   TSInterfaceHeritage               9 files (  0.1%) -       47 total (0.00%)
   YieldExpression                   9 files (  0.1%) -       19 total (0.00%)
   TaggedTemplateExpression          9 files (  0.1%) -       21 total (0.00%)
   TSIndexSignature                  8 files (  0.1%) -       14 total (0.00%)
   DebuggerStatement                 8 files (  0.1%) -       10 total (0.00%)
   TSTypePredicate                   7 files (  0.1%) -       18 total (0.00%)
   TSObjectKeyword                   5 files (  0.0%) -        7 total (0.00%)
   PrivateIdentifier                 5 files (  0.0%) -       28 total (0.00%)
   TSEmptyBodyFunctionExpression     4 files (  0.0%) -        7 total (0.00%)
   TSMappedType                      4 files (  0.0%) -        8 total (0.00%)
   TSEnumDeclaration                 4 files (  0.0%) -        4 total (0.00%)
   TSEnumBody                        4 files (  0.0%) -        4 total (0.00%)
   TSEnumMember                      4 files (  0.0%) -       38 total (0.00%)
   TSInstantiationExpression         3 files (  0.0%) -        7 total (0.00%)
   TSConditionalType                 3 files (  0.0%) -        8 total (0.00%)
   TSRestType                        3 files (  0.0%) -        3 total (0.00%)
   TSBigIntKeyword                   2 files (  0.0%) -       19 total (0.00%)
   TSAbstractMethodDefinition        2 files (  0.0%) -        2 total (0.00%)
   TSSymbolKeyword                   1 files (  0.0%) -        1 total (0.00%)
   TSInferType                       1 files (  0.0%) -        3 total (0.00%)
   TSTemplateLiteralType             1 files (  0.0%) -        1 total (0.00%)
   TSSatisfiesExpression             1 files (  0.0%) -        1 total (0.00%)
   TSCallSignatureDeclaration        1 files (  0.0%) -        3 total (0.00%)

📝 ALL NODE TYPES (BY TOTAL COUNT):
   Identifier                      419,254 (33.77%) in 11627 files (95.7%)
   MemberExpression                131,719 (10.61%) in 9589 files (78.9%)
   Literal                         103,007 (8.30%) in 11765 files (96.9%)
   ExpressionStatement              73,764 (5.94%) in 9837 files (81.0%)
   CallExpression                   72,356 (5.83%) in 9499 files (78.2%)
   ThisExpression                   46,646 (3.76%) in 712 files (5.9%)
   BlockStatement                   37,730 (3.04%) in 5843 files (48.1%)
   Property                         34,211 (2.76%) in 4951 files (40.8%)
   VariableDeclarator               29,024 (2.34%) in 5774 files (47.5%)
   AssignmentExpression             28,898 (2.33%) in 4990 files (41.1%)
   VariableDeclaration              26,736 (2.15%) in 5774 files (47.5%)
   SwitchCase                       26,458 (2.13%) in 87 files (0.7%)
   BinaryExpression                 22,887 (1.84%) in 1540 files (12.7%)
   ParenthesizedExpression          16,458 (1.33%) in 3289 files (27.1%)
   ObjectExpression                 15,961 (1.29%) in 5032 files (41.4%)
   FunctionExpression               13,182 (1.06%) in 4458 files (36.7%)
   Program                          12,147 (0.98%) in 12147 files (100.0%)
   ReturnStatement                  11,816 (0.95%) in 3213 files (26.5%)
   IfStatement                       9,365 (0.75%) in 1175 files (9.7%)
   LogicalExpression                 8,377 (0.67%) in 889 files (7.3%)
   ArrayExpression                   7,631 (0.61%) in 3564 files (29.3%)
   TSTypeAnnotation                  7,190 (0.58%) in 318 files (2.6%)
   UnaryExpression                   6,074 (0.49%) in 966 files (8.0%)
   TSTypeReference                   5,578 (0.45%) in 293 files (2.4%)
   ImportDeclaration                 5,350 (0.43%) in 2151 files (17.7%)
   Unknown                           4,647 (0.37%) in 576 files (4.7%)
   ImportSpecifier                   4,326 (0.35%) in 1284 files (10.6%)
   FunctionDeclaration               4,003 (0.32%) in 1907 files (15.7%)
   NewExpression                     3,993 (0.32%) in 828 files (6.8%)
   TemplateElement                   3,975 (0.32%) in 506 files (4.2%)
   ExportNamedDeclaration            3,619 (0.29%) in 2237 files (18.4%)
   ArrowFunctionExpression           3,551 (0.29%) in 1171 files (9.6%)
   BreakStatement                    2,999 (0.24%) in 77 files (0.6%)
